Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Human Resources, Department of",,Special Consultant,False,False,,0,1200000,,139228,0,23565,0,162793,29626,0,0,14566,44192,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,"Chief Psychologist, State Personnel Board",False,False,,75564,104292,,156242,0,0,774,157015,33230,0,0,12884,46114,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,"C.E.A., Range B",False,False,,74076,165384,,116654,0,33831,0,150485,23998,0,0,3890,27888,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Director/California Department Of Human Resources,False,False,,142965,154615,,136786,0,12172,0,148958,29661,0,0,13424,43085,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Personnel Program Manager I,False,False,,77592,88116,,83445,0,58744,0,142189,17544,0,0,6944,24488,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Deputy Director/ California Department Of Human Resources,False,False,,142248,146520,,140577,0,0,0,140577,29171,0,0,1984,31155,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Chief Counsel/ California Department Of Human Resources,False,False,,126240,165384,,132766,0,0,831,133597,28460,0,0,6140,34600,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,"C.E.A., Range C",False,False,,74076,165384,,132531,0,0,-309,132222,27659,0,0,4464,32123,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Assistant Chief Counsel,False,False,,107160,124128,,130739,0,0,0,130739,27153,0,0,3609,30762,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Assistant Chief Counsel,False,False,,107160,124128,,127099,0,0,0,127099,27153,0,0,13424,40577,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,False,False,,101904,129588,,124891,0,0,0,124891,25800,0,0,17396,43196,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,False,False,,101904,129588,,120701,0,0,0,120701,25800,0,0,6944,32744,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,False,False,,101904,129588,,119330,0,0,77,119406,24777,0,0,3609,28386,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,False,False,,101904,129588,,119393,0,0,0,119393,25800,0,0,13424,39224,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Human Resources, Department of",,Labor Relations Counsel IV,False,False,,101904,129588,,119141,0,0,0,119141,25800,0,0,13424,39224,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
