Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range B",False,False,,75552,168696,,153205,0,0,23,153228,34088,0,0,1984,36072,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Director of Pesticide Regulation,False,False,,145824,157708,,143157,0,0,7,143164,33408,0,0,17708,51116,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range B",False,False,,75552,168696,,126405,0,0,2561,128966,29677,0,0,17708,47385,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Chief Deputy Director/Department of Pesticide Regulation,False,False,,119400,132984,,126562,0,0,0,126562,29580,0,0,17708,47288,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range B",False,False,,75552,168696,,124226,0,0,0,124226,29224,0,0,17708,46932,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,117551,0,0,1049,118601,27877,0,0,17708,45586,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,116697,0,0,1049,117746,27877,0,0,7100,34978,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,117346,0,0,0,117346,27877,0,0,17708,45586,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,115668,0,0,273,115941,26875,0,0,7100,33976,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Senior Environmental Scientist(Specialist),False,False,,65340,81264,,77634,0,37132,1000,115766,18333,0,0,13178,31511,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,105698,0,0,5539,111237,24647,0,0,13700,38348,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager I (Supervisory),False,False,,107796,134016,,109911,0,0,923,110835,25138,0,0,7100,32238,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager I (Supervisory),False,False,,107796,134016,,110214,0,0,500,110714,25138,0,0,2289,27427,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager I (Supervisory),False,False,,107796,134016,,108886,0,0,1423,110309,25138,0,0,7100,32238,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,125112,142128,,108084,0,0,500,108584,25510,0,0,17708,43219,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
