Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager I (Supervisory),False,False,,143352,178212,,167870,0,59320,600,227790,56058,0,0,18217,74275,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range A",False,False,,117060,241728,,191438,0,0,10236,201674,65651,0,0,23377,89027,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Chief Counsel,False,False,,181656,202368,,184175,0,0,17166,201341,46733,0,0,23377,70110,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range A",False,False,,117060,241728,,195577,0,0,2420,197997,65651,0,0,23377,89027,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Chief Deputy Director & Science Advisor of Pesticide Regulation,False,False,,181656,202368,,187700,0,0,3809,191509,46733,0,0,10750,57483,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Director of Pesticide Regulation,False,False,,190232,205734,,188950,0,0,2420,191370,52060,0,0,18217,70277,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,"C.E.A., Range A",False,False,,117060,241728,,178086,0,0,11353,189439,46733,0,0,9397,56130,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,166368,189000,,179583,0,0,7658,187241,59452,0,0,9397,68849,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,166368,189000,,175132,0,0,7658,182790,58783,0,0,9397,68180,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Pesticide Regulation, Deptartment of",,Environmental Program Manager II,False,False,,166368,189000,,173177,0,0,7583,180760,58815,0,0,23377,82192,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
