Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,137956,137956,,137373,0,0,0,137373,33519,0,0,1984,35503,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,137956,137956,,136908,0,0,0,136908,33519,0,0,1519,35038,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"C.E.A., Range C",False,False,,77436,172908,,135865,0,0,0,135865,34590,0,0,18200,52791,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"Chairperson, Public Employment Relations Board",False,False,,142339,142339,,135138,0,0,0,135138,34584,0,0,10646,45230,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,137956,137956,,134825,0,0,0,134825,28073,0,0,7268,35341,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,Attorney IV,False,False,,106464,136704,,131037,0,0,1626,132663,33610,0,0,18200,51810,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"Legal Advisor, PERB",False,False,,74088,135384,,131270,0,0,0,131270,32895,0,0,7268,40163,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,98676,122964,,123194,0,0,0,123194,31370,0,0,14024,45395,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,98676,122964,,120917,0,0,0,120917,31370,0,0,18200,49571,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,98676,122964,,120826,0,0,0,120826,31370,0,0,18200,49571,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
