Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Public Employment Relations Board, California",,"C.E.A., Range C",False,False,,89304,210156,,168310,0,0,7062,175372,54590,0,0,22049,76639,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"General Counsel, Perb",False,False,,152940,178872,,172988,0,0,0,172988,52603,0,0,2001,54604,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"C.E.A., Range B",False,False,,89304,210156,,127671,0,40854,0,168525,38388,0,0,4548,42936,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Assistant Chief Counsel,False,False,,151812,177564,,158531,0,0,1300,159831,49359,0,0,21832,71192,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,159069,159069,,152534,0,0,5911,158445,46779,0,0,9706,56485,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Administrative Law Judge III,False,False,,120252,153480,,150370,0,0,7333,157703,47048,0,0,21751,68799,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,159069,159069,,155782,0,0,0,155782,46779,0,0,3654,50433,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,159069,159069,,155343,0,0,0,155343,46779,0,0,3354,50133,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Administrative Law Judge III,False,False,,120252,153480,,149657,0,0,1300,150957,47048,0,0,17191,64239,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Supervising Attorney,False,False,,113604,145836,,143942,0,0,2730,146671,43065,0,0,3465,46530,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Executive Director, Public Employment Relations Board",False,False,,147576,159600,,144977,0,0,0,144977,45167,0,0,21708,66875,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Administrative Law Judge III,False,False,,120252,153480,,142165,0,0,1300,143465,47048,0,0,19851,66899,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,116256,146292,,141095,0,0,1300,142395,43713,0,0,17073,60785,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,116256,146292,,140261,0,0,1300,141561,43713,0,0,21633,65345,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,134602,0,0,6515,141117,41466,0,0,16992,58458,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,116256,146292,,139392,0,0,1300,140692,44832,0,0,21692,66524,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge I, Public Employment Relations Board",False,False,,110844,139440,,132176,0,0,6775,138951,42486,0,0,21580,64066,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Supervising Attorney,False,False,,113604,145836,,137383,0,0,1300,138683,43065,0,0,21612,64676,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Supervising Attorney,False,False,,113604,145836,,135793,0,0,1300,137093,42564,0,0,21612,64176,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Legal Advisor, Perb",False,False,,114396,162228,,136767,0,0,0,136767,45905,0,0,21735,67639,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,129438,0,0,1333,130770,38610,0,0,18218,56828,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Legal Advisor, Perb",False,False,,114396,162228,,127840,0,0,-186,127654,39571,0,0,16949,56520,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Supervisor Of Conciliation, Department Of Industrial Relations, C.E.A.",False,False,,113052,128352,,125820,0,0,0,125820,37745,0,0,4280,42026,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Board Member/Public Employment Relations Board,False,False,,159069,159069,,123289,0,0,1040,124329,37636,0,0,3949,41585,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge II, Public Employment Relations Board",False,False,,116256,146292,,117935,0,0,5399,123334,35365,0,0,9280,44646,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Presiding Conciliator, Department Of Industrial Relations",False,False,,95088,119076,,117335,0,0,4425,121760,35017,0,0,3234,38251,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Legal Advisor, Perb",False,False,,114396,162228,,120853,0,0,0,120853,36175,0,0,3597,39772,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,118475,0,0,1300,119775,37637,0,0,21418,59055,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,111548,0,0,5550,117099,34116,0,0,9239,43355,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,115271,0,0,1300,116571,35824,0,0,16799,52623,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Presiding Conciliator, Department Of Industrial Relations",False,False,,95088,119076,,110116,0,0,4425,114541,35017,0,0,21346,56364,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,112515,0,0,1210,113725,34941,0,0,19425,54366,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,106341,0,0,4219,110561,33388,0,0,21288,54676,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,108489,0,0,1300,109789,33536,0,0,21277,54813,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,105833,0,0,1300,107133,32439,0,0,9184,41623,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge I, Public Employment Relations Board",False,False,,110844,139440,,105745,0,0,1300,107045,32361,0,0,9179,41540,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,99307,0,0,4219,103526,33388,0,0,21288,54676,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,98536,0,0,4096,102632,31791,0,0,17053,48844,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,102401,0,0,-287,102114,31985,0,0,9109,41094,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Information Technology Specialist II, Range L",False,False,,86676,116172,,97728,0,0,0,97728,30664,0,0,9549,40213,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range O",False,False,,93816,120336,,95998,0,0,1300,97298,29954,0,0,21152,51107,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,93384,0,0,260,93644,27897,0,0,2494,30391,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Staff Services Manager II (Supervisory),False,False,,80664,100224,,93315,0,0,0,93315,29475,0,0,21149,50624,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range O",False,False,,93816,120336,,87501,0,0,803,88304,28188,0,0,21095,49282,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney III, Range L",False,False,,113556,145680,,73489,0,0,9826,83315,25219,0,0,19195,44414,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Administrative Law Judge I, Public Employment Relations Board",False,False,,110844,139440,,82653,0,0,-11,82642,25808,0,0,11305,37113,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Accounting Administrator I (Specialist), Range L",False,False,,69924,87528,,82357,0,0,63,82420,24599,0,0,3095,27693,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range O",False,False,,93816,120336,,79791,0,0,2548,82339,24827,0,0,8908,33735,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range N",False,False,,83352,104820,,79943,0,0,1300,81243,24605,0,0,8896,33501,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Conciliator Department Of Industrial Relations,False,False,,90684,113532,,78690,0,0,520,79210,23919,0,0,2458,26377,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Staff Services Manager I,False,False,,73488,91296,,77239,1181,0,0,78419,24715,0,0,17555,42270,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,Staff Services Manager I,False,False,,73488,91296,,76006,0,0,0,76006,23459,0,0,8875,32334,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range M",False,False,,69156,78948,,69398,0,0,260,69658,21361,0,0,8792,30153,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range M",False,False,,69156,78948,,66619,0,0,2270,68888,20840,0,0,8764,29604,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range N",False,False,,83352,104820,,65361,0,0,840,66201,21271,0,0,19133,40404,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Associate Governmental Program Analyst, Range L",False,False,,63648,79680,,61235,574,0,0,61808,18019,0,0,2627,20646,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Staff Services Analyst (General), Range N",False,False,,52920,66252,,60466,0,0,23,60489,19065,0,0,8717,27782,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Associate Governmental Program Analyst, Range L",False,False,,63648,79680,,58747,0,0,0,58747,18279,0,0,8692,26970,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Associate Governmental Program Analyst, Range L",False,False,,63648,79680,,57454,0,0,-45,57409,18300,0,0,17068,35368,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Attorney, Range O",False,False,,93816,120336,,54696,0,0,620,55316,16723,0,0,1618,18341,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Public Employment Relations Board, California",,"Associate Governmental Program Analyst, Range L",False,False,,63648,79680,,53783,717,0,-90,54410,17075,0,0,14825,31900,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
