Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Public Employees Retirement System, California",,"Chief Investment Officer, Public Employees' Retirement System",False,False,,408000,612000,,486927,0,0,325138,812065,116759,0,0,18200,134959,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,388850,0,0,281100,669950,96960,0,0,18200,115161,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,380452,0,0,276167,656619,95858,0,0,18200,114058,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,353638,0,0,190221,543859,88011,0,0,14024,102035,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,311210,0,0,211538,522748,78145,0,0,18200,96345,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,284903,0,0,208217,493120,70674,0,0,7268,77942,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,280157,0,0,199654,479811,70083,0,0,18200,88283,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,277614,0,0,200925,478539,70166,0,0,18200,88366,1.25% @ 65,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Chief Operating Investment Officer, California Public Emplo Yees Retirement System",False,False,,240000,378000,,356000,0,0,121500,477500,89468,0,0,18200,107668,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,271380,0,0,201374,472754,67742,0,0,14024,81766,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,273082,0,0,196009,469091,68368,0,0,18200,86569,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,260104,0,0,192117,452221,67292,0,0,18200,85492,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,Executive Officer/Public Employees' Retirement System,False,False,,223992,352800,,308523,0,0,132137,440659,77691,0,0,18200,95891,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"General Counsel, Public Employees Retirement System",False,False,,214000,338100,,328267,0,0,104328,432595,80699,0,0,1984,82683,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,250518,0,0,179061,429579,63510,0,0,18200,81710,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,267003,0,0,139145,406148,0,0,0,13640,13640,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,258366,0,0,147130,405496,64664,0,0,14024,78688,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,259747,0,0,134639,394386,63779,0,0,1984,65763,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,243095,0,0,146121,389216,61665,0,0,18200,79865,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,238648,0,0,133505,372153,61105,0,0,18200,79305,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Manager, Public Employees' Retirement System",False,False,,140000,220500,,214340,0,0,153563,367903,52630,0,0,3370,55999,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,221807,0,0,143111,364918,55559,0,0,14024,69583,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,231720,0,0,130261,361981,58206,0,0,18200,76406,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Chief, Financial Officer, Public Employees' Retirement      System",False,False,,210000,309996,,270147,0,0,86015,356162,67233,0,0,14024,81258,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,212696,0,0,139243,351939,53604,0,0,18200,71804,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,252830,0,0,96941,349771,62796,0,0,7268,70065,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Manager, Public Employees' Retirement System",False,False,,140000,220500,,227864,0,0,113794,341658,57398,0,0,18200,75598,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Manager, Public Employees' Retirement System",False,False,,140000,220500,,200128,0,0,139761,339889,50993,0,0,18200,69193,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,243454,0,0,94737,338191,61097,0,0,14024,75121,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,237361,0,0,87745,325106,59746,0,0,18200,77947,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Manager, Public Employees' Retirement System",False,False,,140000,220500,,187219,0,0,136867,324086,46841,0,0,14024,60866,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Chief Actuary, Public Employees' Retirement System",False,False,,206000,310000,,250601,0,0,70844,321445,62626,0,0,14024,76651,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Public Employees Retirement System, California",,"Investment Manager, Public Employees' Retirement System",False,False,,140000,220500,,187615,0,0,130611,318226,46700,0,0,7268,53968,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
