Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Public Employees Retirement System, California",,"Chief Investment Officer, Public Employees' Retirement System",False,False,,408000,612000,,514735,0,0,248026,762761,134427,0,0,19460,153887,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,388808,0,0,229172,617980,102410,0,0,15740,118151,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,393100,0,0,190384,583485,103588,0,0,19460,123048,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,361452,0,0,212425,573877,95927,0,0,19460,115387,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,347056,0,0,209535,556591,91475,0,0,19460,110936,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Chief Operating Investment Officer, California Public Emplo Yees Retirement System",False,False,,240000,378000,,363010,0,0,165263,528273,95968,0,0,19460,115428,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Managing Investment Director, Public Employees' Retirement System",False,False,,262000,411600,,361041,0,0,137294,498335,94027,0,0,14996,109023,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,282634,0,0,188696,471330,73800,0,0,14996,88796,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,282994,0,0,185202,468196,75401,0,0,19460,94861,1.25% @ 65,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Employees Retirement System, California",,"Investment Director, Public Employees' Retirement System",False,False,,188000,296100,,277331,0,0,180732,458062,73667,0,0,19460,93127,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
