Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,160460,0,22546,0,183005,43643,0,0,17734,61377,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program and Project Supervisor, Public Utilities Commission",False,False,,116112,145368,,143507,0,27532,0,171039,39359,0,0,21079,60438,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"General Counsel, Public Utilities Commission",False,False,,155928,178332,,168002,0,0,40,168042,44914,0,0,14996,59910,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program and Project Supervisor, Public Utilities Commission",False,False,,116112,145368,,114498,0,48903,4415,167816,31163,0,0,6457,37620,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program and Project Supervisor, Public Utilities Commission",False,False,,116112,145368,,144288,0,0,18538,162826,40252,0,0,1684,41936,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,153353,0,0,8636,161988,40236,0,0,14996,55233,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Advisor for Policy and Planning, Public Utilities Commission",False,False,,106032,135528,,144372,0,17210,0,161582,37152,0,0,3688,40840,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,157377,0,0,0,157377,40854,0,0,7748,48603,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Executive Director, Public Utilities Commission",False,False,,148944,165936,,156432,0,0,60,156492,41791,0,0,14996,56788,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,156336,0,0,0,156336,40236,0,0,3279,43515,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,151370,0,0,4870,156240,40236,0,0,19460,59697,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,156146,0,0,44,156190,40854,0,0,7748,48603,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,155654,0,0,0,155654,40691,0,0,7748,48439,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,Senior Utilities Engineer (Specialist),False,False,,105720,132312,,99375,0,55585,0,154959,26658,0,0,14477,41136,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,154859,0,0,0,154859,40236,0,0,7748,47985,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,148452,0,0,5970,154423,40269,0,0,19460,59729,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range A",False,False,,79764,181548,,154274,0,0,0,154274,40269,0,0,19460,59729,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,153666,0,0,0,153666,40236,0,0,7748,47985,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,153388,0,0,0,153388,40462,0,0,19460,59922,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,153192,0,0,0,153192,40236,0,0,14996,55233,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,152464,0,0,0,152464,40236,0,0,7748,47985,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"C.E.A., Range B",False,False,,79764,181548,,119031,0,0,33253,152283,33074,0,0,20439,53513,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,151871,0,0,0,151871,40236,0,0,19460,59697,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,151551,0,0,0,151551,40236,0,0,7748,47985,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,151028,0,0,0,151028,40236,0,0,14996,55233,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Public Utilities Commission, California",,"Program Manager, Public Utilities Commission",False,False,,141084,160248,,150821,0,0,0,150821,40236,0,0,13788,54025,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
