Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,"Real Estate, Department of",,Assistant Chief Counsel,False,False,,107160,124128,,56952,0,43310,0,100262,11784,0,0,3472,15256,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"C.E.A., Range 2",False,False,,74076,165384,,0,0,39898,0,39898,0,0,0,0,0,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Legal Secretary, Range A",False,False,,36456,45636,,21598,0,14702,0,36300,4798,0,0,6448,11246,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"C.E.A., Range 3",False,False,,74076,165384,,0,0,35273,0,35273,0,0,0,0,0,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Supervising Auditor I, Department Of Real Estate",False,False,,60948,79524,,19238,0,8749,0,27987,4194,0,0,5799,9993,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Legal Secretary, Range A",False,False,,36456,45636,,16634,0,5846,0,22479,3610,0,0,2730,6340,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Legal Secretary, Range A",False,False,,36456,45636,,19932,0,0,0,19932,4284,0,0,2710,6994,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Supervising Auditor II, Department Of Real Estate",False,False,,66912,87300,,19030,0,0,0,19030,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,Managing Deputy Commissioner III,False,False,,67452,83808,,10171,0,0,0,10171,0,0,0,0,0,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,"Word Processing Technician, Range B",False,False,,29400,36768,,4639,0,1518,0,6157,1216,0,0,5258,6474,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,Seasonal Clerk,False,False,,18060,20484,,3301,0,0,0,3301,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,Examination Proctor,False,False,,23483,25126,,0,0,1630,0,1630,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,"Real Estate, Department of",,Examination Proctor,False,False,,23483,25126,,0,0,1424,0,1424,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,

