Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,"Rehabilitation, Department of",,Chief Deputy Director/Dept Of Rehabilitation,,,,117060,126588,,109190,0,41694,18,150902,20256,0,0,9812,30068,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 3",,,,74076,160572,,96457,0,47806,84,144346,17733,0,0,5636,23370,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Medical Consultant Department Of Rehabilitation, Range C",,,,112776,154728,,132154,0,0,0,132154,24387,0,0,6584,30971,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Medical Consultant Department Of Rehabilitation, Range B",,,,109584,150348,,128674,0,0,0,128674,23393,0,0,5312,28706,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Medical Consultant Department Of Rehabilitation, Range B",,,,109584,150348,,127067,0,0,0,127067,23696,0,0,10400,34096,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Director/Dept Of Rehabilitation,,,,142965,150112,,124254,0,0,42,124296,22876,0,0,5636,28512,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Vocational Psychologist,,,,57756,83604,,69738,0,53080,0,122818,13176,0,0,10400,23577,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Medical Consultant Department Of Rehabilitation, Range A",,,,104532,143400,,113169,0,0,0,113169,22601,0,0,10400,33002,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 4",,,,74076,160572,,112519,0,0,18,112537,20958,0,0,5636,26595,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 2",,,,74076,160572,,94268,0,14486,24,108778,17372,0,0,5636,23008,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Senior Architect, Range A",,,,97464,118440,,101605,0,0,24,101629,18770,0,0,13913,32683,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Attorney III, Range A",,,,92184,113736,,97627,0,0,0,97627,18025,0,0,5288,23313,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 3",,,,74076,160572,,94331,0,0,30,94361,17776,0,0,14084,31861,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Attorney III, Range A",,,,92184,113736,,92303,0,0,0,92303,17661,0,0,13028,30689,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Senior Rehabilitation Engineering Consultant,,,,97380,118308,,91285,0,0,6,91291,18056,0,0,13895,31952,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 2",,,,74076,160572,,89748,0,0,0,89748,16548,0,0,10844,27392,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Deputy Director, Specialized Services Division, Blind And Visually Impaired And Deaf And Hard  Of Hearing",,,,95964,111984,,88586,0,0,66,88652,16331,0,0,5636,21967,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Coordinator Services To The Deaf Department Of Rehabilitation,,,,51288,67332,,55403,0,32664,138,88205,10237,0,0,5312,15549,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Data Processing Manager III,,,,85416,98868,,85729,0,0,0,85729,15820,0,0,5636,21456,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Medical Consultant Department Of Rehabilitation, Range A",,,,104532,143400,,83812,0,0,780,84592,14579,0,0,2016,16595,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Assistant Director, Legislative",,,,87132,94224,,84546,0,0,0,84546,15077,0,0,1691,16767,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"C.E.A., Range 3",,,,74076,160572,,84286,0,0,0,84286,15775,0,0,10844,26619,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Accounting Administrator II,,,,66912,80724,,82682,0,0,0,82682,15359,0,0,14084,29443,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Attorney, Range D",,,,76164,93936,,80605,0,0,0,80605,14887,0,0,5288,20175,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,Rehabilitation Supervisor,,,,51696,62820,,53980,0,24390,0,78370,10052,0,0,5636,15688,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,"Rehabilitation, Department of",,"Senior Vocational Rehabilitation Counselor, Qualified Rehabilitation Professional, Range C",,,,46728,61320,,48148,0,29758,0,77906,7069,0,0,7800,14869,,https://www.calhr.ca.gov,,07/01/2014,,,,
