Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Natural Resources Agency, California",,Secretary of the Natural Resources Agency,False,False,,163976,188451,,181235,0,0,7,181242,45788,0,0,14024,59812,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,Undersecretary/Resources Agency,False,False,,168924,168924,,163119,0,0,0,163119,39996,0,0,1984,41980,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"Assistant Secretary, Forest Resource Management",False,False,,142728,159000,,143905,0,0,15,143920,56009,0,0,14024,70033,3.00% @ 50,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"Deputy Secretary/General Counsel, Resources Agency",False,False,,142728,159000,,140169,0,0,7,140176,35413,0,0,18200,53613,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,Deputy Secretary for Ocean and Coastal Matters,False,False,,127992,142572,,139290,0,0,23,139313,34640,0,0,1984,36624,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"C.E.A., Range C",False,False,,77436,172908,,128099,0,0,20,128119,32812,0,0,14024,46836,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"Deputy Secretary, External Affairs, Resources Agency",False,False,,122388,136308,,125891,0,0,46,125937,32436,0,0,18200,50637,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,Deputy Secretary for Energy,False,False,,122388,136308,,125630,0,0,0,125630,32300,0,0,14024,46324,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,Assistant Secretary for Water Policy,False,False,,115608,128808,,116967,0,0,0,116967,29075,0,0,7304,36379,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,Deputy Secretary for Communications,False,False,,118128,131580,,116107,0,0,500,116607,29633,0,0,18200,47833,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"C.E.A., Range B",False,False,,77436,172908,,110931,0,0,23,110954,28646,0,0,18200,46846,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"Deputy Secretary, Legislation, Resources Agency",False,False,,110220,122796,,108458,0,0,136,108594,28927,0,0,18200,47127,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Natural Resources Agency, California",,"C.E.A., Range A",False,False,,77436,172908,,100124,0,0,0,100124,25511,0,0,18200,43711,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
