Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Environmental Program Manager II,False,False,,161520,183492,,177116,0,3475,500,181091,54979,0,0,3446,58425,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Executive Officer, Delta Conservancy",False,False,,148956,158712,,143443,0,0,9775,153218,47553,0,0,22173,69726,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Environmental Program Manager I (Supervisory),False,False,,139176,173016,,140780,0,0,6184,146964,44176,0,0,8901,53077,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Senior Environmental Scientist(Specialist),False,False,,88032,109512,,88999,0,0,393,89391,28697,0,0,16123,44819,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Staff Services Manager II (Supervisory),False,False,,86448,107400,,74436,0,0,7441,81877,27210,0,0,22173,49383,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,77306,0,0,2180,79486,24114,0,0,972,25086,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Staff Services Manager I,False,False,,78756,97836,,67618,0,0,5718,73336,23588,0,0,16333,39921,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,Staff Services Manager I,False,False,,78756,97836,,66234,0,0,3620,69854,22632,0,0,21573,44205,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,61052,334,0,3670,65056,19928,0,0,15999,35927,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Environmental Scientist, Range C",False,False,,76500,95112,,54593,0,0,253,54846,17651,0,0,6115,23766,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,43063,0,0,550,43613,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,39347,0,0,50,39397,0,0,0,0,0,,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"C.E.A., Range B",False,False,,113652,234684,,38781,0,0,155,38936,12757,0,0,498,13255,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Environmental Scientist, Range C",False,False,,76500,95112,,27470,0,0,96,27567,9180,0,0,3392,12572,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,26193,0,0,1200,27393,8017,0,0,475,8492,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Office Technician (Typing), Range A",False,False,,40428,50604,,10068,0,0,2960,13028,4615,0,0,19725,24340,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,
2022,State Department,Sacramento-San Joaquin Delta Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,66216,82884,,4357,0,0,0,4357,1445,0,0,0,1445,Public Employees Retirement System,https://www.calhr.ca.gov,,07/25/2023,,,True,

