Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,San Francisco Bay Conservation & Development Commission,,"Chief Counsel I, C.E.A.",False,False,,155088,181440,,177626,0,0,0,177626,51148,0,0,3584,54733,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,"C.E.A., Range B",False,False,,86280,200148,,144083,0,0,5680,149763,43295,0,0,20531,63825,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,Staff Services Manager II (Managerial),False,False,,86280,98004,,60570,0,79222,0,139792,18025,0,0,5318,23343,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,"Attorney III, Range A",False,False,,110520,141780,,104161,0,0,32976,137137,39970,0,0,20579,60549,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,"C.E.A., Range A",False,False,,86280,200148,,137174,0,0,-209,136966,41234,0,0,20501,61735,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,"Senior Engineer, San Francisco Bay Conservation and Development Commission",False,False,,112680,141036,,136107,0,0,0,136107,39997,0,0,15752,55749,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,Executive Director/San Francisco Bay Conservation and Development Commission,False,False,,128796,143496,,135326,0,0,0,135326,39387,0,0,2357,41743,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,Senior Environmental Scientist (Supervisory),False,False,,106944,132948,,88618,0,0,14942,103560,29592,0,0,8356,37948,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,"Information Technology Specialist I, Range C",False,False,,74148,99360,,94165,0,0,3691,97856,26583,0,0,7910,34492,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,San Francisco Bay Conservation & Development Commission,,Bay Development Design Analyst San Francisco Bay Conservation and Development Commission,False,False,,95700,119724,,97146,0,0,0,97146,28501,0,0,8376,36876,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
