Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,State Department,Santa Monica Mountains Conservancy,,Executive Director/Santa Monica Mountains Conservancy,False,False,,91392,101808,,80885,0,0,0,80885,0,0,0,13424,13424,,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,Staff Services Manager II (Managerial),False,False,,74076,84144,,79173,0,0,0,79173,16753,0,0,6944,23698,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Attorney III, Range A",False,False,,92184,118284,,59811,0,0,0,59811,11149,0,0,1157,12306,2.00% @ 60,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,52800,66096,,59017,0,0,0,59017,12279,0,0,5880,18159,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,Conservancy Project Development Manager,False,False,,66912,83148,,34295,0,0,0,34295,8277,0,0,17396,25674,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Executive Secretary I, Range A",False,False,,36240,45384,,21713,0,0,0,21713,4518,0,0,124,4642,2.00% @ 55,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,"Member, Regional Water Quality Control Board/State Water Resources Control Board",25920,25920,,1000,0,0,0,1000,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,
2013,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/14/2014,,,,

