Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Santa Monica Mountains Conservancy,,"Attorney III, Range A",False,False,,96384,123660,,104487,0,0,0,104487,25416,0,0,1519,26935,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,Executive Director/Santa Monica Mountains Conservancy,False,False,,95544,106440,,99356,0,0,1978,101334,0,0,0,14024,14024,,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,Staff Services Manager II (Managerial),False,False,,77436,87972,,85642,0,0,1650,87293,21374,0,0,7268,28643,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,66661,0,0,0,66661,16710,0,0,6611,23321,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,Conservancy Project Development Manager,False,False,,69960,86940,,36953,0,0,1305,38258,10562,0,0,18200,28762,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Executive Secretary I, Range A",False,False,,37884,47448,,23388,0,0,0,23388,5765,0,0,124,5889,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,"Member, Regional Water Quality Control Board/State Water Resources Control Board",25920,25920,,1800,0,0,0,1800,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,,25920,25920,,1000,0,0,0,1000,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,,25920,25920,,700,0,0,0,700,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Santa Monica Mountains Conservancy,,"Board Member, Santa Monica Mountains Conservancy",False,False,,25920,25920,,600,0,0,0,600,0,0,0,0,0,,https://www.calhr.ca.gov,,08/02/2016,,,,

