Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,ScholarShare Investment Board,,Special Consultant,False,False,,0,1200000,,18383,0,161804,70,180256,4564,0,0,2337,6902,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Executive Director, Scholarshare Investment Board",False,False,,115608,128808,,123308,0,0,390,123698,31159,0,0,3370,34528,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,Staff Services Manager II (Supervisory),False,False,,69960,86940,,82712,0,0,46,82758,20651,0,0,7268,27919,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,Staff Services Manager I,False,False,,63732,79176,,71843,0,0,30,71873,19237,0,0,18200,37438,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,65755,4703,0,69,70527,16750,0,0,6852,23601,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,59517,5892,0,76,65485,14255,0,0,1804,16059,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,62192,2256,0,23,64471,16347,0,0,13492,29838,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,54799,0,0,-141,54658,14621,0,0,16684,31305,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Staff Services Analyst (General), Range C",False,False,,45888,57456,,45977,3201,0,46,49224,10922,0,0,1804,12726,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,47645,644,0,46,48335,12412,0,0,13492,25904,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,ScholarShare Investment Board,,"Executive Assistant, Range A",False,False,,41256,51636,,41706,0,0,0,41706,11038,0,0,13492,24530,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,

