Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,20605,0,186140,0,206745,5686,0,0,3237,8923,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Assistant Chief Counsel,False,False,,142056,166164,,155738,0,0,0,155738,43924,0,0,19812,63736,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Chief Counsel,False,False,,143424,159792,,150281,0,0,3008,153289,41253,0,0,124,41377,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Chief Deputy Secretary of State/Secretary of State,False,False,,143424,159792,,149027,0,0,0,149027,42880,0,0,14996,57876,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,Publc Emp Retire System Member,Secretary of State,True,False,,146854,146854,,139371,0,0,522,139893,39104,0,0,19424,58528,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,138687,0,0,0,138687,38841,0,0,7736,46578,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Assistant Secretary of State, Help America Vote Act Coordinator",False,False,,131100,146016,,131567,0,0,5340,136908,37866,0,0,19424,57290,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Corporation Assistant,False,False,,53424,66876,,44591,30935,59525,0,135051,13572,0,0,11258,24829,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,127403,0,0,5134,132537,35878,0,0,14996,50874,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney III, Range A",False,False,,106272,136332,,128451,0,0,0,128451,36389,0,0,7610,44000,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney III, Range A",False,False,,106272,136332,,123105,0,0,4264,127368,36389,0,0,19154,55544,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney III, Range A",False,False,,106272,136332,,124954,0,0,1154,126107,36373,0,0,14750,51124,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range C",False,False,,82956,190620,,125118,0,0,0,125118,35181,0,0,7736,42917,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney III, Range A",False,False,,106272,136332,,123416,0,0,-696,122720,36389,0,0,19154,55544,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,115348,0,0,4630,119979,33265,0,0,19424,52689,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Supervising Attorney,False,False,,106320,136476,,115820,0,0,3754,119575,35390,0,0,19739,55129,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,112119,0,0,4429,116547,32134,0,0,14996,47130,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range A",False,False,,82956,190620,,115793,0,0,0,115793,31586,0,0,1984,33570,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Data Processing Manager III,False,False,,95664,114048,,113080,0,0,2109,115189,30603,0,0,1984,32587,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Deputy Chief Administrator, Secretary of State",False,False,,112452,125340,,114433,0,0,0,114433,32408,0,0,7736,40144,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Data Processing Manager III,False,False,,95664,114048,,112726,0,0,930,113656,30603,0,0,2294,32897,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Assistant Deputy Voter Education and Outreach Services,False,False,,107304,119520,,106792,0,0,4044,110836,28804,0,0,1984,30788,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,102850,0,0,7828,110678,30537,0,0,124,30661,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Strategic Communications and Public Information Officer,False,False,,107304,119520,,105751,0,0,4114,109865,29300,0,0,7736,37036,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney III, Range A",False,False,,106272,136332,,107776,0,0,1820,109596,32919,0,0,19154,52074,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Systems Software Specialist II (Technical), Range A",False,False,,72564,95376,,87165,14175,0,6486,107825,23959,0,0,2343,26303,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Data Processing Manager III,False,False,,95664,114048,,106217,0,0,0,106217,28739,0,0,3466,32205,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range B",False,False,,82956,190620,,104872,0,0,0,104872,31999,0,0,19424,51423,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Systems Software Specialist III (Supervisory),False,False,,86220,113340,,104143,0,0,0,104143,30415,0,0,19424,49839,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Data Processing Manager IV,False,False,,105168,125412,,103596,0,0,0,103596,29533,0,0,19424,48957,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney, Range D",False,False,,87792,112620,,101647,0,0,0,101647,30060,0,0,11631,41691,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney, Range D",False,False,,87792,112620,,101120,0,0,7,101127,28263,0,0,7541,35805,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Systems Software Specialist III (Technical), Range A",False,False,,79728,104784,,98422,0,0,2500,100922,28118,0,0,18841,46959,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,96236,0,0,3743,99978,27028,0,0,7736,34764,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Attorney, Range D",False,False,,87792,112620,,99754,0,0,0,99754,30060,0,0,14695,44755,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,92882,0,0,6389,99272,26727,0,0,7736,34463,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,94822,0,0,3752,98574,27028,0,0,15365,42393,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Senior Programmer Analyst (Supervisor),False,False,,78612,103332,,96064,0,0,2500,98564,26042,0,0,1849,27891,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"C.E.A., Range A",False,False,,82956,190620,,98366,0,0,0,98366,28747,0,0,19424,48171,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Political Reform Program Senior Specialist,False,False,,63060,78936,,73023,19781,0,5419,98223,21182,0,0,18841,40023,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Systems Software Specialist II (Technical), Range A",False,False,,72564,95376,,91546,0,0,6027,97573,25593,0,0,7297,32890,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,91162,0,0,6033,97195,25636,0,0,7297,32933,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Data Processing Manager II,False,False,,78600,103320,,96897,0,0,0,96897,27726,0,0,19424,47150,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,90504,0,0,5906,96410,25636,0,0,12533,38169,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,91526,0,0,3381,94906,25018,0,0,1984,27002,1.25% @ 65,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Senior Information Systems Analyst (Specialist), Range A",False,False,,72684,95532,,91053,0,0,2500,93553,25636,0,0,7297,32933,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,89776,0,0,3098,92873,27028,0,0,19424,46452,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,Staff Services Manager III,False,False,,91116,103452,,90657,0,0,1808,92465,26701,0,0,19424,46126,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Secretary of State,,"Systems Software Specialist II (Technical), Range A",False,False,,72564,95376,,89954,0,0,2500,92454,25593,0,0,14435,40028,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
