Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,State Department,Sierra Nevada Conservancy,,"Executive Officer, Sierra Nevada Conservancy",False,False,,135768,151260,,125675,0,0,5692,131367,37846,0,0,10566,48412,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,"C.E.A., Range B",False,False,,93372,226200,,122160,0,0,8264,130424,37846,0,0,23945,61791,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager III,False,False,,102540,116424,,105759,0,0,7403,113162,31521,0,0,2825,34347,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,"Information Technology Specialist I, Range C",False,False,,84252,112896,,99586,0,0,7273,106860,30264,0,0,10435,40699,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager II (Managerial),False,False,,93372,106056,,91454,0,0,3120,94574,28703,0,0,23162,51864,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager I,False,False,,76836,95448,,90476,0,0,3120,93596,25833,0,0,22916,48749,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager I,False,False,,76836,95448,,86803,0,0,3120,89923,25847,0,0,2339,28186,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager II (Managerial),False,False,,93372,106056,,82745,0,0,6949,89694,26033,0,0,22900,48933,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager I,False,False,,76836,95448,,84234,0,0,3120,87354,24477,0,0,18191,42669,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,"Environmental Scientist, Range C",False,False,,76500,95112,,83536,0,0,0,83536,25271,0,0,9063,34334,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,"Information Technology Associate, Range D",False,False,,69864,93636,,79949,0,0,3120,83069,25341,0,0,22256,47597,2.00% @ 60,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager I,False,False,,76836,95448,,75551,0,0,6088,81639,22128,0,0,10213,32342,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Staff Services Manager I,False,False,,76836,95448,,74671,0,0,6338,81008,23254,0,0,22448,45702,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
2021,State Department,Sierra Nevada Conservancy,,Conservancy Project Development Analyst II,False,False,,67824,84948,,77437,0,0,3370,80807,23057,0,0,2105,25162,2.00% @ 55,https://www.calhr.ca.gov,,07/26/2022,,,True,
