Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Social Services, Department of",,"Administrative Law Judge II (Supervisor), Department of Social Services",False,False,,122064,153612,,151605,0,148370,10032,310007,49349,0,0,20950,70299,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,170772,0,94835,4420,270027,52498,0,0,12745,65243,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,Administrative Law Judge III,False,False,,120252,153480,,137019,0,120866,3900,261785,43013,0,0,17162,60176,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Administrative Law Judge II (Specialist), Department of Social Services",False,False,,116136,146172,,153153,0,84879,4420,242452,47662,0,0,20086,67748,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Administrative Law Judge II (Supervisor), Department of Social Services",False,False,,122064,153612,,153579,0,57048,5642,216270,48102,0,0,5344,53447,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,Director/Department of Social Services,False,False,,215124,252823,,201227,0,0,1107,202334,62082,0,0,24775,86857,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,Assistant Chief Counsel,False,False,,151812,177564,,166895,0,26071,4420,197386,51243,0,0,11781,63024,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Administrative Law Judge II (Specialist), Department of Social Services",False,False,,116136,146172,,118611,0,73930,4160,196701,37539,0,0,15492,53031,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range B",False,False,,130932,179640,,180994,0,7408,1000,189402,55919,0,0,19528,75448,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,178747,0,0,1000,179747,53538,0,0,4474,58012,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,178645,0,0,848,179493,53348,0,0,16805,70153,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,178101,0,0,1000,179101,53348,0,0,4474,57822,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,177999,0,0,1000,178999,53348,0,0,4474,57822,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,177801,0,0,1000,178801,53348,0,0,5239,58587,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,177598,0,0,1000,178598,53348,0,0,5239,58587,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I (Psychiatrist), Department of Social Services, Range C",False,False,,134736,184860,,176992,0,0,1455,178447,53348,0,0,18091,71439,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I (Psychiatrist), Department of Social Services, Range C",False,False,,134736,184860,,176972,0,0,1000,177972,53348,0,0,22783,76131,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I (Psychiatrist), Department of Social Services, Range C",False,False,,134736,184860,,176241,0,0,1000,177241,53348,0,0,2614,55962,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,123329,0,52167,1000,176496,37107,0,0,15746,52853,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,175008,0,0,1000,176008,53348,0,0,10375,63723,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range C",False,False,,134736,184860,,173841,0,0,1000,174841,53348,0,0,21522,74870,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range B",False,False,,130932,179640,,173462,0,0,1000,174462,55651,0,0,24576,80227,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Social Services, Department of",,"Medical Consultant I, Department of Social Services, Range B",False,False,,130932,179640,,172621,0,0,1000,173621,51842,0,0,5734,57576,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
