Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Coastal Conservancy, State",,"Chief Counsel I, C.E.A.",False,False,,177348,207504,,190142,0,0,650,190792,63514,0,0,23377,86891,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Executive Officer/California Coastal Conservancy,False,False,,150348,167460,,142305,0,0,77,142382,47294,0,0,11756,59050,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"C.E.A., Range A",False,False,,117060,241728,,130887,0,0,2420,133307,44568,0,0,18217,62785,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Public Land Manager II,False,False,,125340,142272,,122170,0,0,2470,124640,41246,0,0,23377,64623,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Attorney III, Range A",False,False,,126432,162312,,123722,0,0,543,124265,40947,0,0,10309,51256,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Public Land Manager II,False,False,,125340,142272,,120667,0,0,3084,123751,41246,0,0,18217,59463,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Public Land Manager II,False,False,,125340,142272,,119509,0,0,1820,121329,41246,0,0,23377,64623,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Information Technology Specialist I, Range C",False,False,,88956,119184,,116901,0,0,2470,119371,37492,0,0,8861,46353,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Public Land Manager II,False,False,,125340,142272,,115283,0,0,2470,117753,39341,0,0,18217,57557,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Attorney III, Range A",False,False,,126432,162312,,115913,0,0,650,116563,40824,0,0,22693,63517,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Information Technology Specialist I, Range C",False,False,,88956,119184,,109047,0,0,4807,113854,37492,0,0,22698,60190,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"C.E.A., Range A",False,False,,117060,241728,,110621,0,0,2470,113091,37605,0,0,9397,47001,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Manager,False,False,,103068,128064,,107859,0,0,3886,111745,37123,0,0,18217,55340,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Manager,False,False,,103068,128064,,109640,0,0,1820,111460,37123,0,0,23377,60500,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Manager,False,False,,103068,128064,,108221,0,0,2470,110691,37123,0,0,18217,55340,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Manager,False,False,,103068,128064,,108164,0,0,2470,110634,37123,0,0,23377,60500,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Staff Services Manager I,False,False,,81120,100776,,84202,0,22737,1820,108759,29012,0,0,16699,45711,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,100036,0,0,4441,104477,33911,0,0,8861,42772,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,101765,0,0,1820,103585,33911,0,0,17151,51062,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,102203,0,0,650,102853,33911,0,0,593,34504,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,100137,0,0,2470,102607,33911,0,0,8861,42772,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Staff Services Manager II (Managerial),False,False,,98580,111972,,97461,0,0,4532,101994,32675,0,0,9397,42071,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,100545,0,0,0,100545,32755,0,0,1816,34571,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,98049,0,0,1820,99869,33911,0,0,17581,51492,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,96752,0,0,2470,99222,33911,0,0,22767,56678,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Attorney, Range B",False,False,,104496,134076,,96640,0,0,2226,98867,31770,0,0,8857,40626,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Manager,False,False,,103068,128064,,92226,0,0,2470,94696,32251,0,0,23377,55628,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,92018,0,0,1820,93838,31312,0,0,22074,53386,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Staff Services Manager I,False,False,,81120,100776,,90464,0,0,2320,92784,31386,0,0,18217,49603,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Staff Services Manager I,False,False,,81120,100776,,88891,0,0,2420,91311,29732,0,0,10135,39868,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,"Attorney, Range A",False,False,,92844,116760,,88709,0,0,2175,90884,29529,0,0,8857,38386,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,86797,0,0,650,87447,28234,0,0,1816,30050,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,84949,0,0,2070,87019,28795,0,0,8637,37432,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Accounting Administrator I (Supervisor),False,False,,81120,100776,,81936,0,1309,2170,85414,28658,0,0,20367,49025,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,78670,0,0,4045,82716,26761,0,0,8822,35583,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,79076,0,0,2470,81546,26883,0,0,8571,35454,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Conservancy Project Development Specialist,False,False,,88584,110844,,78810,0,0,2470,81280,26761,0,0,8637,35398,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Coastal Conservancy, State",,Staff Services Manager I,False,False,,81120,100776,,78593,205,0,2370,81168,27095,0,0,8764,35858,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
