Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Compensation Insurance Fund, State",,"President And CEO, State Compensation Insurance Fund",,,,450000,585360,,454295,0,0,56274,510569,0,0,0,15416,15416,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Chief Information Officer, State Compensation Insurance Fund",,,,315000,315000,,366642,0,0,36000,402642,14313,0,0,15416,29729,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"General Counsel, State Compensation Insurance Fund",,,,315180,315180,,290804,2354,0,48568,341726,52594,0,0,3136,55730,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Chief Investment Officer, State Compensation Insurance Fund",,,,240000,240000,,241857,0,0,33750,275607,34637,0,0,6140,40777,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Chief Financial Officer, State Compensation Insurance Fund",,,,296640,296640,,261707,0,0,-316,261391,0,0,0,11573,11573,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Chief Risk Officer, State Compensation Insurance Fund",,,,296640,296640,,243401,0,0,0,243401,0,0,0,12847,12847,ALTERNATE RETIREMENT PLAN (ARP),https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Chief Operating Officer, State Compensation Insurance Fund",,,,156000,204000,,188932,1200,0,11564,201696,24785,0,0,11852,36637,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Medical Officer, State Compensation Insurance Fund, C.E.A.",,,,121824,144732,,11427,0,178543,69,190038,2292,0,0,512,2803,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Program Manager II, State Compensation Insurance Fund, Range B",,,,95484,105264,,69740,0,113606,341,183687,12784,0,0,4605,17389,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,119398,0,60545,1331,181274,22210,0,0,11852,34062,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,131625,0,46539,0,178164,24168,0,0,11852,36021,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Data Processing Manager II,,,,70188,89568,,72924,1447,94784,4139,173295,13036,0,0,9877,22912,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Supervising Attorney,,,,92232,113808,,130625,2627,31980,946,166178,23955,0,0,12881,36836,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Supervising Attorney,,,,92232,113808,,120550,0,39617,1768,161935,22022,0,0,6140,28162,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,142375,2788,0,7303,152465,25713,0,0,6140,31854,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Program Manager II, State Compensation Insurance Fund, Range B",,,,95484,105264,,96689,0,38677,6681,142046,17784,0,0,11852,29636,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Systems Software Specialist II (Technical), Range A",,,,66732,85164,,69887,1505,68299,731,140421,12426,0,0,12431,24857,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,134303,1673,0,2874,138849,24892,0,0,11852,36744,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,127635,506,0,8278,136419,23117,0,0,6140,29257,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,131027,1062,0,2719,134807,24169,0,0,15416,39585,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,128663,0,0,5810,134473,24016,0,0,15416,39432,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Supervising Attorney,,,,92232,113808,,9789,0,114401,9958,134148,1991,0,0,988,2979,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Workers' Compensation Insurance Supervisor II,,,,58644,70764,,61036,544,70496,1749,133825,11419,0,0,11852,23272,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Data Processing Manager II,,,,70188,89568,,90153,724,0,42145,133021,15749,0,0,6140,21889,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Attorney III, Range A",,,,92184,113736,,97560,0,0,34003,131562,18124,0,0,10932,29056,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126936,927,0,3557,131420,23162,0,0,6140,29303,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126220,927,0,4118,131266,23162,0,0,11852,35015,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Data Processing Manager II,,,,70188,89568,,88873,0,37659,4702,131235,16057,0,0,11863,27920,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,125546,1854,0,3340,130740,23522,0,0,15416,38938,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,125754,919,0,3553,130227,21688,0,0,11852,33540,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126366,1838,0,1999,130204,23111,0,0,11852,34964,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126529,2781,0,508,129818,23162,0,0,11852,35015,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,125777,927,0,3087,129791,23162,0,0,15416,38579,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,125634,1854,0,2299,129788,23162,0,0,15416,38579,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,125479,464,0,3048,128991,23210,0,0,6140,29350,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"C.E.A., Range 5",,,,74076,160572,,94364,0,34327,0,128691,17540,0,0,10278,27818,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,"Attorney III, Range A",,,,92184,113736,,93581,0,34465,336,128382,17024,0,0,4665,21689,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,123309,464,0,4408,128181,23162,0,0,15416,38579,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Supervising Attorney,,,,92232,113808,,124120,438,0,3213,127771,22059,0,0,3580,25639,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126411,0,0,863,127274,23210,0,0,6140,29350,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Supervising Attorney,,,,92232,113808,,123975,2189,0,963,127127,21970,0,0,1984,23954,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126529,0,0,250,126779,23162,0,0,11852,35015,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,126036,0,0,0,126036,23162,0,0,15416,38579,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Manager I State Compensation Insurance Fund,,,,64440,77724,,74851,0,47105,3809,125765,13666,0,0,6140,19806,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Compensation Insurance Fund, State",,Assistant Chief Counsel,,,,107160,120516,,125502,0,0,0,125502,23097,0,0,6140,29238,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
