Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Controller's Office, California State",,"C.E.A., Range B",False,False,,89304,210156,,144721,0,164520,1323,310564,45618,0,0,24418,70036,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range C",False,False,,89304,210156,,195939,0,0,1300,197239,60648,0,0,13758,74406,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,Special Consultant,False,False,,0,1200000,,92351,0,76821,0,169172,13448,0,0,5051,18499,,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,Information Technology Manager I,False,False,,96192,128904,,67164,0,98921,390,166475,22068,0,0,13849,35917,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range C",False,False,,89304,210156,,160181,0,0,1300,161481,50373,0,0,25366,75739,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,Deputy State Controller/State Controller,False,False,,154380,172008,,157760,0,0,1300,159060,49639,0,0,23970,73609,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,State Controller,True,False,,167796,167796,,158435,0,0,0,158435,53170,0,0,16190,69360,Legislative Retirement System (LRS)-Constitutional Officer,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range C",False,False,,89304,210156,,157028,0,0,1300,158328,48711,0,0,25236,73947,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range B",False,False,,89304,210156,,103620,0,53730,260,157610,32867,0,0,14766,47633,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"Assistant Deputy State Controller, State Controller",False,False,,147576,164376,,148336,0,0,7675,156011,47437,0,0,23712,71149,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,Staff Services Manager III,False,False,,98076,111360,,92865,0,59740,1290,153895,29663,0,0,9936,39599,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range B",False,False,,89304,210156,,149293,0,0,1300,150593,45738,0,0,12397,58134,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,"C.E.A., Range C",False,False,,89304,210156,,149171,0,0,1300,150471,45122,0,0,6800,51922,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Controller's Office, California State",,Chief Deputy/State Controller's Office,False,False,,154380,172020,,148628,0,0,1300,149928,45975,0,0,4037,50013,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
