Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Developmental Disabilities, State Council on",,"Attorney III, Range A",False,False,,113556,145680,,138691,0,0,5453,144143,43018,0,0,9756,52774,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Executive Director, State Council On Developmental Disabilities",False,False,,133308,148524,,136417,0,0,5522,141939,43403,0,0,21645,65048,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,117777,0,0,4445,122222,36557,0,0,17386,53943,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"C.E.A., Range A",False,False,,89304,210156,,116590,0,0,0,116590,36228,0,0,9935,46163,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"C.E.A., Range A",False,False,,89304,210156,,104423,0,0,0,104423,32866,0,0,9723,42590,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,99394,0,0,3769,103163,29830,0,0,3544,33374,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,96543,0,0,3814,100357,29830,0,0,9599,39430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,96416,0,0,3770,100185,29830,0,0,9597,39427,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,96035,0,0,3770,99805,29830,0,0,9599,39430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,99732,0,0,69,99801,29830,0,0,3547,33377,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,95653,0,0,3770,99423,29830,0,0,9599,39430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,95510,0,0,3770,99279,29830,0,0,9599,39430,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,93801,0,0,3770,97570,29830,0,0,17099,46930,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,92603,0,0,3770,96373,30506,0,0,9614,40120,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist IV,False,False,,80664,100224,,92482,0,0,3763,96245,29475,0,0,21641,51116,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Supervisory),False,False,,80664,100224,,95307,0,0,0,95307,29475,0,0,9581,39056,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,93777,0,0,0,93777,29830,0,0,21659,51490,1.25% @ 65,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist III,False,False,,73488,91296,,86763,0,0,3393,90155,26849,0,0,9443,36292,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,87957,0,0,1802,89759,28040,0,0,16986,45027,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Supervisory),False,False,,80664,100224,,89716,0,0,0,89716,28602,0,0,21596,50198,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,75905,0,0,2874,78779,22748,0,0,3651,26399,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,76315,0,0,0,76315,22748,0,0,2996,25744,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70758,0,0,2950,73709,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70364,0,0,2874,73239,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,73170,0,0,0,73170,21856,0,0,2940,24796,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70023,0,0,2874,72897,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,72872,0,0,0,72872,22748,0,0,8770,31518,1.25% @ 65,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,72652,0,0,0,72652,22748,0,0,9111,31859,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,69227,0,0,2874,72102,22748,0,0,16169,38917,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,69131,0,0,2947,72078,22748,0,0,20331,43079,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,71564,0,0,0,71564,22748,0,0,9111,31859,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,71462,0,0,0,71462,22748,0,0,15739,38487,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70758,0,0,0,70758,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager I,False,False,,73488,91296,,70691,0,0,0,70691,21800,0,0,9176,30976,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70364,0,0,115,70479,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70394,0,0,0,70394,22748,0,0,20755,43503,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,70295,0,0,0,70295,22748,0,0,16155,38903,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,69986,0,0,0,69986,22322,0,0,16148,38470,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,69842,0,0,0,69842,22748,0,0,16155,38903,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,69054,0,0,0,69054,22748,0,0,16155,38903,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,69015,0,0,0,69015,22748,0,0,16169,38917,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,65898,0,0,0,65898,19608,0,0,2831,22438,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,61137,0,0,2874,64011,22748,0,0,20687,43435,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,62872,0,0,0,62872,18916,0,0,3806,22722,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,62568,0,0,0,62568,20048,0,0,15605,35653,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,62547,0,0,0,62547,19939,0,0,8623,28562,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,60827,15,0,60,60902,19156,0,0,8581,27737,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,60829,0,0,0,60829,19008,0,0,8307,27314,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,60127,0,0,0,60127,18329,0,0,7261,25590,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,57209,0,0,-198,57011,18788,0,0,20480,39268,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,54591,0,0,0,54591,16246,0,0,2979,19225,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,52655,0,0,0,52655,16947,0,0,8428,25375,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,51513,0,0,0,51513,15715,0,0,5698,21413,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,47237,0,0,0,47237,15305,0,0,15272,30577,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,46945,0,0,0,46945,13887,0,0,2846,16733,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,43963,0,0,1755,45719,13887,0,0,8267,22153,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,43951,0,0,0,43951,13887,0,0,8037,21924,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,44614,0,0,-1116,43498,13891,0,0,6808,20699,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,42699,0,0,0,42699,13887,0,0,8661,22548,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,41291,0,0,0,41291,13887,0,0,20223,34110,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,41043,0,0,0,41043,13887,0,0,19497,33384,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,39592,5125,0,-4229,40488,11642,0,0,10337,21979,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,38593,0,0,878,39470,13333,0,0,19184,32518,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,36582,0,0,420,37002,11096,0,0,1220,12315,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,36131,0,0,-314,35817,11841,0,0,7154,18995,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,35057,0,0,0,35057,11144,0,0,7702,18847,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,34974,0,0,23,34997,11144,0,0,7902,19046,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,34732,0,0,0,34732,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,33712,0,0,-247,33465,11096,0,0,15037,26133,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Community Program Specialist II,False,False,,61788,77352,,24087,0,1610,0,25697,7406,0,0,2910,10316,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager II (Managerial),False,False,,89304,101436,,14008,0,8132,0,22139,4328,0,0,2268,6596,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Staff Services Manager I,False,False,,73488,91296,,21409,0,0,0,21409,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,,37728,47220,,18510,0,0,0,18510,6943,0,0,19859,26803,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Office Technician (Typing), Range A",False,False,Self-Help Sponsor (Part Time),37728,47220,,17879,212,0,164,18255,5788,0,0,3726,9513,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,Information Officer II,False,False,,76848,95484,,17957,0,0,-49,17908,5651,0,0,2274,7926,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,15210,0,0,-100,15110,4760,0,0,259,5019,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,9406,0,0,-50,9356,2998,0,0,1286,4284,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,3400,0,0,0,3400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,2400,0,0,0,2400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Seasonal Clerk, Range A",False,False,,27036,30492,,1490,0,252,0,1742,0,0,0,0,0,Part-Time Seasonal And Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1500,0,0,0,1500,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1500,0,0,0,1500,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1400,0,0,0,1400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1300,0,0,0,1300,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,1160,0,0,0,1160,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1100,0,0,0,1100,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,1000,0,0,0,1000,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,900,0,0,0,900,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,800,0,0,0,800,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,700,0,0,0,700,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,600,0,0,0,600,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,400,0,0,0,400,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,300,0,0,0,300,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,200,0,0,0,200,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,100,0,0,0,100,0,0,0,11,11,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,100,0,0,0,100,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,100,0,0,0,100,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Developmental Disabilities, State Council on",,"Member, State Council On Developmental Disabilities",False,False,,25920,25920,,100,0,0,0,100,0,0,0,0,0,,https://www.calhr.ca.gov,,09/01/2020,,,True,

