Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,State Department,"Energy Commission, California",,"Attorney IV, Range A",False,False,,125436,161052,,154496,0,209115,4420,368031,49893,0,0,25308,75201,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Senior Mechanical Engineer,False,False,,117084,146532,,147315,0,59360,500,207175,46885,0,0,20532,67416,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Attorney IV, Range A",False,False,,125436,161052,,162914,0,28672,0,191586,49893,0,0,5144,55037,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Senior Mechanical Engineer,False,False,,117084,146532,,150895,0,34058,46,184998,46730,0,0,20532,67262,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Assistant Chief Counsel,False,False,,151812,177564,,152506,0,2127,27421,182054,53993,0,0,26180,80173,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Executive Director, Energy Resources Conservation and Development Commission/Resources Agency",False,False,,187296,187296,,175634,0,0,1300,176934,54051,0,0,24242,78293,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Supervising Mechanical Engineer,False,False,,128724,161136,,162399,0,13240,250,175889,51557,0,0,20991,72548,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"C.E.A., Range C",False,False,,89304,210156,,171711,0,0,1300,173011,54002,0,0,25683,79685,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Assistant Chief Counsel,False,False,,151812,177564,,147868,0,0,22957,170826,51935,0,0,11677,63612,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Assistant Chief Counsel,False,False,,151812,177564,,164313,0,0,4670,168983,51243,0,0,24333,75576,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Chairperson, Energy Resources Conservation and Development Commission",False,False,,164123,164123,,159960,0,0,6422,166381,48476,0,0,23921,72397,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"C.E.A., Range C",False,False,,89304,210156,,161098,0,0,1300,162398,49362,0,0,12754,62117,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Attorney IV, Range A",False,False,,125436,161052,,150686,0,0,6128,156814,46987,0,0,11018,58004,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Air Resources Engineer, Range D",False,False,,99516,124524,,105219,0,50341,0,155560,32870,0,0,16926,49796,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Attorney IV, Range A",False,False,,125436,161052,,154539,0,0,370,154909,46477,0,0,6322,52799,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Energy Resource Specialist III (Managerial),False,False,,113868,129312,,152081,0,0,0,152081,45134,0,0,23967,69101,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Member, State Energy Resources Conservation and Development Commission",False,False,,159068,159068,,147812,0,0,2928,150740,46983,0,0,11277,58260,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Energy Resources Specialist III (Supervisory),False,False,,99120,123168,,119501,0,27993,1885,149379,38613,0,0,15131,53744,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"C.E.A., Range B",False,False,,89304,210156,,147470,0,0,1300,148770,45238,0,0,12388,57625,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Member, State Energy Resources Conservation and Development Commission",False,False,,159068,159068,,147948,0,0,0,147948,46983,0,0,23829,70812,2.00% @ 60,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Energy Resource Specialist III (Managerial),False,False,,113868,129312,,123221,0,22899,0,146120,39929,0,0,21096,61026,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Electric Transmission System Program Specialist III,False,False,,117648,147276,,145392,0,0,260,145652,44350,0,0,18743,63093,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Senior Electrical Engineer,False,False,,117084,146532,,145103,0,0,0,145103,42467,0,0,4614,47082,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Electric Generation System Program Specialist III,False,False,,129768,147276,,144217,0,0,0,144217,44350,0,0,11294,55644,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"C.E.A., Range B",False,False,,89304,210156,,137639,6084,0,206,143929,44558,0,0,25860,70418,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,Public Advisor/Energy Resources Conservation and  Development Commission,False,False,,141120,157176,,142117,0,0,1312,143429,43288,0,0,11028,54316,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Attorney III, Range A",False,False,,113556,145680,,139674,0,0,3640,143314,42041,0,0,10688,52729,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
2020,State Department,"Energy Commission, California",,"Member, State Energy Resources Conservation and Development Commission",False,False,,159068,159068,,143251,0,0,53,143304,46983,0,0,23829,70812,2.00% @ 55,https://www.calhr.ca.gov,,07/27/2021,,,True,
