Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,State Department,"Independent Living Council, California State",,"Executive Director, State Independent Living Council",False,False,,84720,94368,,86236,0,0,0,86236,19422,0,0,124,19546,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,Staff Services Manager I,False,False,,62172,77244,,75192,0,0,0,75192,17181,0,0,7100,24282,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Staff Services Analyst (General), Range C",False,False,,44772,56052,,39327,0,0,0,39327,9266,0,0,6460,15726,2.00% @ 55,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Associate Governmental Program Analyst, Range A",False,False,,53856,67416,,29695,0,2033,0,31728,0,0,0,2194,2194,Alternate Retirement Plan (ARP),https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,"Member, State Rehabilitation Council/Department of Rehabi   Litation",25920,25920,,4700,0,0,0,4700,0,0,0,0,0,,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,,25920,25920,,1200,0,0,0,1200,0,0,0,0,0,,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,,25920,25920,,1100,0,0,0,1100,0,0,0,0,0,,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,,25920,25920,,900,0,0,0,900,0,0,0,0,0,,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,,25920,25920,,500,0,0,0,500,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/28/2015,,,,
2014,State Department,"Independent Living Council, California State",,"Member, State Independent Living Council",False,False,,25920,25920,,500,0,0,0,500,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,https://www.calhr.ca.gov,,07/28/2015,,,,

