Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,State Department,"Lands Commission, California State",,Supervising Mineral Resources Engineer,False,False,,184248,209208,,146298,0,168681,8692,323671,48561,0,0,13663,62223,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Supervising Mineral Resources Engineer,False,False,,184248,209208,,202896,0,0,8412,211308,65809,0,0,2945,68753,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Supervising Mineral Resources Engineer,False,False,,184248,209208,,208142,0,0,0,208142,69428,0,0,9397,78825,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,"C.E.A., Range A",False,False,,117060,241728,,193233,0,0,8230,201463,64021,0,0,136,64157,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Executive Officer/State Lands Commission,False,False,,196692,202620,,188952,0,0,9911,198863,63736,0,0,23377,87113,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,"Senior Engineer, Petroleum Structures (Specialist)",False,False,,159180,199248,,172309,7572,0,18382,198263,62675,0,0,15650,78326,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Petroleum Reservoir Engineer State Lands Division,False,False,,159072,199008,,195966,0,0,600,196566,63441,0,0,1816,65256,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,"C.E.A., Range A",False,False,,117060,241728,,186694,0,0,8535,195229,46733,0,0,1951,48684,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Petroleum Reservoir Engineer State Lands Division,False,False,,159072,199008,,193142,0,0,600,193742,62601,0,0,2895,65495,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
2023,State Department,"Lands Commission, California State",,Supervising Boundary Determination Officer,False,False,,158676,180264,,182402,0,0,7702,190104,59822,0,0,23377,83199,Public Employees Retirement System,https://www.calhr.ca.gov,,08/06/2024,,,True,
