Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,77436,172908,,168090,0,0,3244,171334,42012,0,0,18200,60213,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,77436,172908,,165149,0,0,3150,168299,41319,0,0,7268,48587,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,77436,172908,,166045,0,0,0,166045,41654,0,0,14024,55678,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,Attorney V,False,False,,112464,143544,,138328,0,0,23,138351,33932,0,0,2707,36639,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,Attorney IV,False,False,,106464,136704,,136318,0,0,1282,137600,33215,0,0,2707,35922,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,Attorney IV,False,False,,106464,136704,,136618,0,0,30,136648,33215,0,0,1984,35199,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,98580,124068,,129979,0,0,1245,131224,31652,0,0,3163,34816,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,102072,130272,,127466,0,0,1222,128688,32353,0,0,13496,45849,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,102072,130272,,128149,0,0,0,128149,32353,0,0,13496,45849,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,98580,124068,,126221,0,0,0,126221,31652,0,0,6848,38501,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
