Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,79764,181548,,171826,0,0,6650,178476,44854,0,0,19460,64314,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,79764,181548,,172192,0,0,0,172192,44854,0,0,14996,59850,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"C.E.A., Range C",False,False,,79764,181548,,169261,0,0,1539,170800,44854,0,0,13184,58038,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney V, Range A",False,False,,118092,150720,,145460,0,0,18,145478,37365,0,0,2725,40090,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney IV, Range A",False,False,,111792,143544,,139704,0,0,30,139734,35585,0,0,1984,37569,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney IV, Range A",False,False,,111792,143544,,139404,0,0,0,139404,35585,0,0,2725,38310,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,107172,136788,,135686,0,0,1253,136939,34650,0,0,3189,37839,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,107172,136788,,132968,0,0,1315,134283,35587,0,0,18884,54471,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,107172,136788,,132936,0,0,23,132959,35606,0,0,14444,50050,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"C.E.A., Range B",False,False,,79764,181548,,125901,0,0,4940,130841,33318,0,0,14996,48314,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney IV, Range A",False,False,,111792,143544,,128952,0,0,0,128952,35585,0,0,18884,54469,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,103512,130272,,127534,0,0,1253,128787,33910,0,0,18884,52794,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,103512,130272,,126070,0,0,1253,127323,33910,0,0,18884,52794,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge I, State Personnel Board",False,False,,98724,124176,,124282,0,0,1194,125476,32206,0,0,7316,39523,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge I, State Personnel Board",False,False,,98724,124176,,123112,0,0,1194,124306,32323,0,0,14444,46767,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge I, State Personnel Board",False,False,,98724,124176,,118530,0,0,1137,119667,28573,0,0,7460,36033,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,103512,130272,,115163,0,0,11,115175,30571,0,0,14444,45016,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,103512,130272,,77589,0,33289,0,110878,19903,0,0,4278,24181,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney III, Range A",False,False,,101208,129840,,109874,0,0,109,109983,29791,0,0,18884,48675,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney III, Range A",False,False,,101208,129840,,107930,0,0,1093,109023,30109,0,0,18884,48994,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Administrative Law Judge III,False,False,,107172,136788,,81752,0,23509,0,105261,20899,0,0,8584,29482,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Administrative Law Judge II (Specialist), State Personnel Board",False,False,,103512,130272,,103915,0,0,0,103915,28366,0,0,15756,44122,2.00% @ 60,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Attorney III, Range A",False,False,,101208,129840,,100052,0,0,-79,99973,26892,0,0,14998,41890,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager III,False,False,,87612,99468,,92112,0,0,3686,95799,24913,0,0,7748,32661,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager II (Supervisory),False,False,,72060,89544,,84042,0,0,3344,87386,22553,0,0,7748,30301,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager I,False,False,,65640,81552,,77646,0,0,3045,80692,20508,0,0,19460,39968,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager I,False,False,,65640,81552,,77988,0,0,2018,80005,20539,0,0,7748,28287,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager I,False,False,,65640,81552,,75077,0,0,3045,78122,20539,0,0,7748,28287,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager I,False,False,,65640,81552,,75186,0,0,1827,77013,20226,0,0,19460,39686,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,Staff Services Manager I,False,False,,65640,81552,,72070,0,0,0,72070,19148,0,0,14996,34145,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Associate Personnel Analyst, Range A",False,False,,55200,69096,,70256,0,0,0,70256,17832,0,0,2789,20621,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Senior Legal Analyst, Range A",False,False,,57948,72576,,68839,0,0,0,68839,18730,0,0,18881,37611,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Associate Personnel Analyst, Range A",False,False,,55200,69096,,67584,0,0,0,67584,17790,0,0,7315,25106,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
2016,State Department,"Personnel Board, State",,"Associate Personnel Analyst, Range A",False,False,,55200,69096,,66679,0,0,0,66679,17336,0,0,905,18241,2.00% @ 55,https://www.calhr.ca.gov,,07/25/2017,,,,
