Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,184343,0,1087,0,185430,53455,0,0,9693,63148,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,State Public Defender,False,False,,166517,180086,,174377,0,0,0,174377,49987,0,0,3918,53905,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"C.E.A., Range B",False,False,,86280,200148,,168698,0,0,0,168698,49251,0,0,8675,57927,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,155579,0,0,6087,161666,46399,0,0,16844,63243,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,159022,0,2319,0,161341,47853,0,0,20247,68101,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,161304,0,0,0,161304,46399,0,0,3436,49835,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,161304,0,0,0,161304,46399,0,0,3436,49835,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,155034,0,0,6133,161168,46399,0,0,9428,55827,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,154759,0,0,6087,160846,46399,0,0,21368,67767,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,154642,0,0,6087,160729,46399,0,0,9428,55827,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,154550,0,0,6087,160637,46399,0,0,9428,55827,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,158607,0,0,0,158607,46399,0,0,9428,55827,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,157866,0,0,0,157866,46399,0,0,9428,55827,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,Supervising Deputy State Public Defender,False,False,,128952,164592,,150456,0,0,6087,156543,46399,0,0,16844,63243,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,149356,0,0,5797,155153,44188,0,0,8915,53103,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,147207,0,0,5797,153004,44188,0,0,16199,60387,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,151847,0,0,0,151847,44188,0,0,1507,45695,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,146839,0,0,0,146839,44188,0,0,16199,60387,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,145867,0,0,0,145867,44188,0,0,20711,64899,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,134204,0,0,5529,139733,40992,0,0,20613,61606,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,139537,0,0,0,139537,40623,0,0,1399,42022,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Deputy State Public Defender, Range C",False,False,,110520,141780,,132422,0,0,0,132422,39970,0,0,20579,60549,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Deputy State Public Defender, Range C",False,False,,110520,141780,,131575,0,0,0,131575,39568,0,0,20478,60046,2.00% @ 60,https://www.calhr.ca.gov,,08/01/2019,,,True,
2018,State Department,"Public Defender, Office of the State",,"Senior Deputy State Public Defender, Range A",False,False,,122172,156744,,130967,0,0,0,130967,39442,0,0,8775,48217,2.00% @ 55,https://www.calhr.ca.gov,,08/01/2019,,,True,
