Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,"Teachers' Retirement System, California",,"Chief Investment Officer, California State Teachers' Retirement System",,,,275004,365004,,343627,0,0,139548,483175,62413,0,0,15416,77829,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,Chief Executive Officer/State Teachers' Retirement,,,,240000,315000,,298586,0,0,156040,454626,54292,0,0,11852,66144,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,237404,0,0,126000,363404,41365,0,0,11852,53218,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,Board Member/State Personnel Board,170004,240000,,234623,0,0,105012,339635,35201,0,0,15416,50617,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,194087,0,0,101744,295831,34837,0,0,3806,38643,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,206992,0,0,78255,285247,37918,0,0,15416,53334,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,175008,0,0,93253,268261,30615,0,0,15416,46031,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,167684,0,0,93277,260961,30615,0,0,11852,42467,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,224082,0,0,29648,253730,41365,0,0,15416,56782,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,165393,0,0,85339,250732,29049,0,0,11852,40902,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,162580,0,0,85302,247882,29049,0,0,3580,32629,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,156604,0,0,78273,234877,29130,0,0,11852,40982,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,187401,0,0,29250,216651,34321,0,0,6140,40461,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Investment Director, California State Teachers' Retirement System",,,,170004,240000,,166097,0,0,47429,213526,30679,0,0,15416,46095,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,154896,0,0,56575,211471,28778,0,0,15416,44194,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,"Teachers' Retirement System, California",,"Portfolio Manager, State Teachers' Retirement System",,,,144996,195000,,145403,0,0,63435,208838,26962,0,0,15416,42378,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
