Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,"Treasurer's Office, State",,Special Consultant,False,False,,0,1200000,,143063,0,135047,23,278133,44836,0,0,16985,61822,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,"C.E.A., Range C",False,False,,89304,210156,,161144,0,39783,5825,206751,49941,0,0,11449,61390,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,"C.E.A., Range B",False,False,,89304,210156,,171152,0,0,6774,177926,53605,0,0,22904,76509,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,Chief Deputy State Treasurer,False,False,,148440,189636,,175024,0,0,30,175054,53492,0,0,9933,63425,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,Deputy State Treasurer,False,False,,147576,184716,,174667,0,0,104,174771,54321,0,0,17475,71795,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,State Treasurer,True,False,,167796,167796,,162209,0,0,0,162209,48091,0,0,1985,50077,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,"C.E.A., Range C",False,False,,89304,210156,,154427,0,0,3226,157653,47709,0,0,15535,63244,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,"C.E.A., Range C",False,False,,89304,210156,,151466,0,0,6029,157495,47709,0,0,22595,70304,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",CSCRSIB,"Executive Director, CA Secure Choice Retirement Savings Investment Board",False,False,,141120,157176,,151355,0,0,196,151551,46222,0,0,9686,55908,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,"Treasurer's Office, State",,"Deputy State Treasurer, Pooled Money Investment Board",False,False,,147576,164376,,144126,0,0,5778,149904,44847,0,0,17130,61977,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
