Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,State Department,Student Aid Commission,,"C.E.A., Range B",False,False,,89304,210156,,246403,0,32698,150,279251,74596,0,0,23565,98161,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"C.E.A., Range C",False,False,,89304,210156,,155439,0,0,3038,158476,49254,0,0,10325,59579,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"C.E.A., Range B",False,False,,89304,210156,,139185,0,0,5503,144688,43552,0,0,22378,65930,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"C.E.A., Range B",False,False,,89304,210156,,136181,0,0,30,136211,43552,0,0,22378,65930,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Information Technology Manager I,False,False,,91608,122760,,119009,0,0,-865,118144,36101,0,0,7805,43907,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,100907,0,7806,0,108712,30243,0,0,3389,33632,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,96349,0,0,6084,102433,29888,0,0,3798,33686,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,99414,0,0,2389,101802,29956,0,0,4386,34341,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,97463,0,0,3822,101285,30243,0,0,9162,39405,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,97633,0,0,2072,99705,28613,0,0,3335,31947,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,93608,0,0,3725,97333,29475,0,0,10206,39681,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Senior Management Auditor,False,False,,80664,105252,,97257,0,0,0,97257,31230,0,0,17175,48405,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Executive Director/Student Aid Commission,False,False,,172356,177516,,97457,0,0,-885,96572,30472,0,0,12870,43341,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,92538,0,0,3725,96262,29475,0,0,21261,50736,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,95782,0,0,0,95782,30243,0,0,16562,46805,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,91656,0,0,3581,95236,29475,0,0,17081,46556,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,80427,0,14036,0,94463,24901,0,0,19064,43965,,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,93887,0,0,0,93887,30032,0,0,21135,51167,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,89881,0,0,3822,93703,30032,0,0,21066,51098,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Information Technology Supervisor II,False,False,,83004,111216,,92259,0,0,0,92259,29296,0,0,21573,50869,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Information Technology Supervisor II,False,False,,83004,111216,,91461,0,0,650,92111,29260,0,0,3417,32677,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,88541,0,0,3548,92089,27973,0,0,16440,44412,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range B",False,False,,69900,93684,,91545,0,0,0,91545,27551,0,0,4258,31809,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Information Technology Manager I,False,False,,91608,122760,,90171,0,1046,0,91218,28327,0,0,18167,46494,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,87097,0,0,3393,90490,26849,0,0,9443,36292,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Information Officer II,False,False,,76848,95484,,88469,0,0,-128,88341,28080,0,0,21568,49648,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,86869,0,0,0,86869,26849,0,0,9443,36292,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,86606,0,0,124,86730,27209,0,0,17199,44408,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,85007,0,0,0,85007,26849,0,0,20363,47212,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Associate, Range D",False,False,,63648,85296,,80798,0,0,3170,83968,25085,0,0,8818,33902,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Management Auditor, Range A",False,False,,64872,85296,,83686,0,0,0,83686,25085,0,0,3432,28517,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Research Data Specialist I, Range A",False,False,,67872,84960,,83659,0,0,0,83659,24986,0,0,3114,28100,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager II (Supervisory),False,False,,80664,100224,,83313,0,0,0,83313,24828,0,0,3281,28109,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,81104,0,0,0,81104,25157,0,0,8591,33748,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,75905,1007,0,2874,79786,22748,0,0,3651,26399,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Management Auditor, Range A",False,False,,64872,85296,,79452,0,0,0,79452,25085,0,0,8892,33977,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,71453,0,0,5387,76840,24571,0,0,21381,45951,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Associate, Range D",False,False,,63648,85296,,75600,1222,0,0,76822,23168,0,0,2565,25733,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Associate, Range D",False,False,,63648,85296,,76647,0,0,0,76647,23864,0,0,8792,32657,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Budget Analyst, Range A",False,False,,61788,77352,,76315,0,0,0,76315,22748,0,0,2996,25744,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Research Data Specialist I, Range A",False,False,,67872,84960,,76247,0,0,0,76247,24077,0,0,8800,32877,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range B",False,False,,69900,93684,,76100,0,0,0,76100,24650,0,0,15688,40338,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range B",False,False,,69900,93684,,72639,0,0,2732,75371,23392,0,0,20786,44178,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,74388,0,0,0,74388,22257,0,0,3152,25409,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Administrative Assistant II, Range A",False,False,,61788,77352,,71317,0,0,2874,74191,22748,0,0,15568,38316,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Personnel Analyst, Range A",False,False,,61788,77352,,72458,0,0,0,72458,22748,0,0,8770,31518,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,72208,0,0,0,72208,22748,0,0,8731,31478,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Management Auditor, Range A",False,False,,64872,85296,,71930,0,0,0,71930,23291,0,0,20710,44001,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,71233,0,0,0,71233,22695,0,0,16151,38846,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,70972,0,0,0,70972,22893,0,0,20070,42962,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range A",False,False,,63564,85188,,69141,167,0,0,69307,22270,0,0,20662,42932,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,69020,0,0,0,69020,22748,0,0,16155,38903,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,68669,0,0,0,68669,21461,0,0,8675,30136,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Management Auditor, Range A",False,False,,64872,85296,,68254,278,0,0,68532,21262,0,0,8468,29729,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Personnel Analyst, Range A",False,False,,61788,77352,,68447,0,0,0,68447,20629,0,0,3964,24592,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,62551,3099,0,2466,68115,19524,0,0,8373,27896,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,67810,0,0,64,67874,21127,0,0,8412,29539,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Management Auditor,False,False,,73488,95868,,65860,0,0,650,66510,21046,0,0,3661,24707,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,66510,0,0,0,66510,21671,0,0,20632,42303,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Personnel Analyst, Range A",False,False,,61788,77352,,66505,0,0,0,66505,21667,0,0,20699,42366,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Senior Accounting Officer (Specialist), Range A",False,False,,61788,77352,,61453,2746,0,1280,65479,19562,0,0,8563,28125,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,63795,0,0,0,63795,18935,0,0,2795,21730,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,63001,0,0,16,63017,18657,0,0,2750,21407,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,62792,0,0,-204,62588,20593,0,0,20668,41261,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,61484,0,0,0,61484,19414,0,0,8372,27786,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Accounting Officer (Specialist), Range A",False,False,,53952,67548,,58240,0,0,2441,60681,19166,0,0,20566,39733,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,52114,6162,0,2151,60427,17185,0,0,19768,36953,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,Staff Services Manager I,False,False,,73488,91296,,58662,0,0,-139,58523,18133,0,0,6288,24421,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,57402,814,0,-25,58191,17968,0,0,8384,26352,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range C",False,False,,76740,102840,,57258,0,0,700,57958,17360,0,0,2249,19609,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,55395,0,0,2073,57468,16558,0,0,3679,20237,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Staff Services Analyst (General), Range C",False,False,,51372,64320,,54062,2348,0,862,57272,17422,0,0,15888,33310,2.00% @ 60,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,55943,0,0,0,55943,18260,0,0,15933,34193,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,55213,0,0,-22,55191,17799,0,0,15789,33588,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,51871,0,1810,359,54040,15645,0,0,9157,24802,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Associate Governmental Program Analyst, Range A",False,False,,61788,77352,,52825,0,0,-88,52737,17456,0,0,20479,37935,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
2019,State Department,Student Aid Commission,,"Information Technology Specialist I, Range B",False,False,,69900,93684,,52437,134,0,-150,52421,17377,0,0,19706,37083,2.00% @ 55,https://www.calhr.ca.gov,,09/01/2020,,,True,
