Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2011,State Department,Supreme Court of California,,Clerk/Administrator Of The Supreme Court,,,,147888,181464,,174281,0,0,3490,177771,39496,0,0,2667,42162,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Chief Supervising Attorney, Ca Supreme Court",,,,133332,173700,,160087,0,0,6681,166767,37793,0,0,12739,50532,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,Principal Attorney For The Chief Justice,,,,133332,173700,,163222,0,0,2004,165227,37793,0,0,6146,43938,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,152969,0,0,6244,159213,27866,0,0,6146,34012,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,151528,0,0,6244,157772,27866,0,0,15418,43284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,151528,0,0,6244,157772,27866,0,0,15418,43284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,151528,0,0,6244,157772,27866,0,0,15418,43284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,150638,0,0,6244,156882,27866,0,0,12262,40128,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Managing Appellate Court Attorney, Range C",,,,131244,162336,,152081,0,0,4683,156764,27866,0,0,15418,43284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supervising Supreme Court Attorney, Range C",,,,131244,162336,,156037,0,0,0,156037,27866,0,0,2667,30533,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Managing Appellate Court Attorney, Range C",,,,131244,162336,,148562,0,0,6244,154805,27866,0,0,15418,43284,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Senior Supreme Court Attorney, Range C",,,,107628,143640,,136614,0,11270,5525,153409,24927,0,0,6146,31072,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Managing Appellate Court Attorney, Range C",,,,131244,162336,,144680,0,0,6214,150894,27267,0,0,11847,39114,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,142106,0,0,3539,145645,25273,0,0,1804,27077,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,139970,0,0,5663,145633,25273,0,0,2447,27720,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Senior Supreme Court Attorney, Range C",,,,107628,143640,,139873,0,0,5525,145397,24927,0,0,2162,27088,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,139665,0,0,5663,145327,25273,0,0,5788,31061,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,139353,0,0,5663,145016,25273,0,0,6146,31418,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,137118,0,0,5663,142781,25273,0,0,15418,40691,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,138559,0,0,3539,142098,25273,0,0,6146,31418,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,136366,0,0,5663,142029,25273,0,0,11847,37119,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,136366,0,0,5663,142029,25273,0,0,11847,37119,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,141821,0,0,0,141821,25273,0,0,2132,27404,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Senior Supreme Court Attorney, Range C",,,,107628,143640,,136039,0,0,5525,141564,25302,0,0,6146,31448,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Lead Supreme Court Attorney, Range C",,,,124572,147228,,135086,0,0,5663,140749,25218,0,0,14498,39716,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,135052,0,0,5663,140714,25273,0,0,15418,40691,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Supreme Court Chambers Attorney, Range F, Range C",,,,124572,147228,,135052,0,0,5663,140714,25273,0,0,15418,40691,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2011,State Department,Supreme Court of California,,"Senior Supreme Court Attorney, Range C",,,,107628,143640,,135137,0,0,5525,140661,24657,0,0,6146,30802,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
