Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Victim Compensation and Government Claims Board,,"C.E.A., Range A",False,False,,77436,172908,,73441,0,73831,2161,149433,18327,0,0,9350,27677,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Executive Officer, Victim Compensation & Government Claims  Board",False,False,,127992,142572,,139496,0,0,2675,142171,34640,0,0,3370,38010,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"C.E.A., Range B",False,False,,77436,172908,,137438,0,0,2570,140008,34700,0,0,15416,50117,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Attorney III, Range A",False,False,,96384,123660,,117966,0,0,14,117980,30046,0,0,17648,47695,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Attorney III, Range A",False,False,,96384,123660,,117554,0,0,0,117554,29453,0,0,6848,36301,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Attorney III, Range A",False,False,,96384,123660,,116376,0,0,23,116399,30151,0,0,6848,37000,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Data Processing Manager IV,False,False,,98184,117072,,114183,0,0,2191,116374,28406,0,0,7268,35674,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"C.E.A., Range B",False,False,,77436,172908,,114528,0,0,30,114558,29109,0,0,18200,47309,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Attorney III, Range A",False,False,,96384,123660,,111403,0,0,0,111403,27002,0,0,1984,28985,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Supervising Attorney,False,False,,96432,122556,,109885,0,0,0,109885,26637,0,0,1984,28621,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Data Processing Manager IV,False,False,,98184,117072,,104678,0,0,2098,106775,26637,0,0,18200,44837,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Associate Accounting Analyst, Range A",False,False,,57948,72576,,68687,0,26514,0,95201,17633,0,0,7521,25154,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"C.E.A., Range A",False,False,,77436,172908,,94392,0,0,0,94392,24224,0,0,7268,31492,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Data Processing Manager II,False,False,,73380,96456,,93560,0,0,0,93560,22608,0,0,1984,24592,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"C.E.A., Range A",False,False,,77436,172908,,90319,0,0,1872,92191,23769,0,0,18200,41969,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Systems Software Specialist III (Technical),False,False,,76656,100752,,91931,0,0,65,91996,22319,0,0,1804,24123,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,"Associate Governmental Program Analyst, Range A",False,False,,55200,69096,,64470,0,25748,0,90218,16525,0,0,6814,23339,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Staff Services Manager II (Supervisory),False,False,,69960,86940,,81960,0,0,8183,90143,21080,0,0,14024,35104,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Systems Software Specialist III (Technical),False,False,,76656,100752,,88910,0,0,0,88910,23512,0,0,14883,38395,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Victim Compensation and Government Claims Board,,Staff Services Manager II (Supervisory),False,False,,69960,86940,,86919,0,0,0,86919,21123,0,0,3370,24493,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
