Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Power Utility Engineer (Specialist),,,,97464,118440,,152161,0,123613,36,275810,30057,0,0,13463,43520,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Supervising Hydroelectric Power Utility Engineer,,,,97164,118104,,98312,0,175814,0,274126,18733,0,0,5860,24593,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Principal Hydroelectric Power Utility Engineer,,,,118104,130236,,81716,0,116323,2172,200212,15167,0,0,2406,17573,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Supervising Engineer Water Resources, Range A",,,,97164,118104,,126124,0,72920,0,199044,23982,0,0,2149,26131,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Supervising Hydroelectric Power Utility Engineer,,,,97164,118104,,109267,0,84440,1357,195064,21357,0,0,16040,37398,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Associate Electrical Engineer Hydraulic Structures,,,,82776,100536,,63599,8261,120458,401,192718,12098,0,0,4248,16346,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Operations Superintendent,,,,78828,102516,,106269,3679,75863,156,185967,20105,0,0,2563,22668,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanical Supervisor,,,,70092,91092,,78630,96708,0,3064,178402,15597,0,0,11620,27217,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrical Supervisor,,,,70092,91092,,87103,82366,0,2897,172366,17632,0,0,12344,29976,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Power Utility Engineer (Specialist),,,,97464,118440,,122307,0,48203,24,170535,23982,0,0,13463,37445,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrical Supervisor,,,,70092,91092,,90471,77138,0,2078,169687,16979,0,0,1984,18963,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Supervising Engineer Water Resources, Range A",,,,97164,118104,,120263,0,48483,0,168746,23982,0,0,17490,41472,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic II,,,,66924,82968,,74974,86571,0,3789,165334,15329,0,0,15176,30506,1.25% @ 65,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Director/Department Of Water Resources,,,,142965,165000,,162544,0,0,18,162562,30938,0,0,2363,33301,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanical Supervisor,,,,70092,91092,,89875,59412,0,12447,161734,17368,0,0,1984,19352,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Deputy Director,,,,114528,160572,,153111,0,0,2717,155827,29431,0,0,1984,31415,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Supervising Engineer Water Resources, Range A",,,,97164,118104,,57847,0,97131,0,154979,8092,0,0,6683,14776,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic II,,,,66924,82968,,77387,64097,0,11370,152854,16040,0,0,15176,31217,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Construction Management Supervisor,,,,81492,99072,,82501,0,68456,1860,152817,15347,0,0,3048,18396,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Associate Control Engineer,,,,89952,109236,,104896,1602,45515,0,152013,20257,0,0,6383,26640,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Operations Superintendent,,,,78828,102516,,105812,0,42327,168,148306,20817,0,0,13463,34280,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Land Surveyor,,,,88524,107580,,46061,0,102130,0,148190,8147,0,0,5143,13290,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Plant Operator,,,,66924,82968,,74985,58070,0,14495,147550,17551,0,0,15176,32728,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Attorney III, Range A",,,,92184,113736,,130053,0,17013,0,147065,24421,0,0,2466,26888,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Electrical Construction Supervisor II, Range A",,,,81492,99072,,97302,0,48171,24,145497,18885,0,0,13373,32258,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrician II,,,,66924,82968,,74974,55008,0,14302,144284,16162,0,0,15176,31338,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrical Supervisor,,,,70092,91092,,80298,59393,0,4250,143940,16419,0,0,16040,32459,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 4",,,,74076,160572,,142408,0,0,672,143079,28031,0,0,12652,40683,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 4",,,,74076,160572,,142748,0,0,18,142766,28031,0,0,16040,44071,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic II,,,,66924,82968,,69949,57409,0,14523,141881,14720,0,0,15176,29896,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Maintenance Superintendent,,,,78828,102516,,102399,0,38444,178,141020,20817,0,0,17490,38307,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Chief Hydroelectric Plant Operator,,,,70092,91092,,87191,50124,0,3049,140363,17144,0,0,6392,23537,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrical Supervisor,,,,70092,91092,,80956,50594,0,7937,139488,16213,0,0,11674,27887,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanical Supervisor,,,,70092,91092,,78047,55214,0,5772,139034,16471,0,0,15264,31735,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanical Supervisor,,,,70092,91092,,87103,44599,0,7325,139027,17191,0,0,12344,29536,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Engineer, Water Resources, Range D",,,,82764,100548,,93656,43953,0,1056,138665,18572,0,0,15860,34432,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Plant Operator,,,,66924,82968,,78917,22108,23742,12147,136915,18491,0,0,13083,31574,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic II,,,,66924,82968,,68139,59190,0,9485,136814,14304,0,0,11579,25883,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Chief Of Utility Operations, Water Resources",,,,129840,143148,,136100,0,0,54,136154,26841,0,0,16040,42881,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Senior Engineer Water Resources, Range A",,,,88524,107580,,69973,0,65503,0,135476,13159,0,0,8230,21388,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,135313,0,0,0,135313,25520,0,0,1984,27504,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Engineering Geologist, Range D",,,,83124,101064,,89094,45835,0,62,134991,17226,0,0,6372,23598,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,134919,0,0,30,134949,25641,0,0,1984,27625,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Plant Operator,,,,66924,82968,,79472,43772,0,11661,134904,17547,0,0,5903,23450,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,134196,0,0,24,134220,26697,0,0,16040,42737,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic I,,,,58128,72060,,77592,31027,21870,3516,134005,15000,0,0,2449,17449,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Electrical Supervisor,,,,70092,91092,,76588,52474,0,3510,132572,16058,0,0,16040,32099,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Supervising Engineer Water Resources, Range A",,,,97164,118104,,131533,0,0,420,131953,22079,0,0,17190,39270,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,131916,0,0,0,131916,25641,0,0,6392,32034,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 3",,,,74076,160572,,131696,0,0,0,131696,25484,0,0,6392,31876,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"C.E.A., Range 5",,,,74076,160572,,131168,0,0,0,131168,25898,0,0,16040,41938,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Hydroelectric Plant Mechanic II,,,,66924,82968,,79461,48588,0,2560,130608,15855,0,0,5903,21758,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Chief Of Utility Operations, Water Resources",,,,129840,143148,,78600,0,51915,0,130515,5162,0,0,4010,9172,,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Chief Deputy Director,,,,114528,160572,,126521,0,0,3979,130500,24685,0,0,1984,26669,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,"Chief Of Utility Operations, Water Resources",,,,129840,143148,,130328,0,0,168,130496,25447,0,0,16040,41487,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Senior Hydroelectric Plant Operator,,,,66924,82968,,74937,39578,0,15932,130448,16185,0,0,5903,22088,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,"Water Resources, Department of",,Chief Hydroelectric Plant Operator,,,,70092,91092,,90899,34936,0,4605,130439,17961,0,0,3609,21570,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
