Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2012,State Department,Water Resources Control Board,,"Executive Officer I, Regional Water Quality Control Board/State Water Resources Control Board",,,,117672,127236,,96661,0,0,103006,199666,18447,0,0,3609,22056,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 3",,,,74076,160572,,102603,0,90174,0,192777,20481,0,0,6392,26874,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Principal Water Resource Control Engineer,,,,118104,130236,,119523,0,70051,0,189574,23358,0,0,16040,39399,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Supervising Water Resource Control Engineer (Supervisory),,,,97164,118104,,121033,0,43898,6,164937,23982,0,0,17490,41472,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 3",,,,74076,160572,,115836,0,48257,18,164111,22924,0,0,17490,40414,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Senior Water Resource Control Engineer, Range S",,,,88524,107580,,110514,0,45233,0,155747,21845,0,0,14079,35924,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Supervising Water Resource Control Engineer (Supervisory),,,,97164,118104,,116911,0,37259,0,154170,22145,0,0,12344,34489,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Principal Water Resource Control Engineer,,,,118104,130236,,124276,0,24830,0,149107,24420,0,0,16040,40460,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 5",,,,74076,160572,,147781,0,0,0,147781,28931,0,0,16040,44971,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Executive Officer I, Regional Water Quality Control Board/State Water Resources Control Board",,,,117672,127236,,82844,0,63257,0,146100,15563,0,0,8230,23793,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 4",,,,74076,160572,,136096,0,0,0,136096,26548,0,0,16040,42589,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 4",,,,74076,160572,,135091,0,0,0,135091,25529,0,0,3609,29138,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Water Resource Control Engineer, Range D",,,,82764,100548,,39961,0,94073,0,134034,7333,0,0,2581,9914,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 3",,,,74076,160572,,132778,0,0,54,132832,25029,0,0,1984,27013,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 1",,,,74076,160572,,132478,0,0,16,132494,25029,0,0,3609,28638,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Principal Water Resource Control Engineer,,,,118104,130236,,124697,0,0,7230,131927,24419,0,0,16040,40460,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Assistant Chief Counsel,,,,107160,120516,,131338,0,0,0,131338,24814,0,0,3609,28423,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 3",,,,74076,160572,,130360,0,0,0,130360,25029,0,0,1984,27013,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Principal Water Resource Control Engineer,,,,118104,130236,,128569,0,0,0,128569,24420,0,0,2363,26782,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Assistant Chief Counsel,,,,107160,120516,,128500,0,0,26,128526,24814,0,0,1984,26798,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Attorney III, Range A",,,,92184,113736,,92676,0,34818,203,127696,18564,0,0,2605,21169,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Executive Officer I, Regional Water Quality Control Board/State Water Resources Control Board",,,,117672,127236,,127478,0,0,12,127490,24063,0,0,3609,27672,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Chairman/State Water Resources Control Board,,,,132179,132179,,127345,0,0,0,127345,24888,0,0,12344,37233,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Senior Engineering Geologist, Range S",,,,88524,107580,,108274,0,18745,6,127025,21765,0,0,17490,39255,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Assistant Chief Counsel,,,,107160,120516,,126325,0,0,0,126325,24814,0,0,16040,40855,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Executive Officer III, Regional Water Quality Control Board/Water Resources Control Board",,,,120204,130128,,124275,0,0,1379,125654,24399,0,0,12344,36744,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Member, State Water Resources Control Board",,,,128109,128109,,125545,0,0,24,125569,24387,0,0,6392,30780,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Member, State Water Resources Control Board",,,,128109,128109,,125017,0,0,36,125053,24122,0,0,6392,30514,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,Principal Water Resource Control Engineer,,,,118104,130236,,125006,0,0,0,125006,24420,0,0,16040,40460,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"C.E.A., Range 3",,,,74076,160572,,124875,0,0,6,124881,25029,0,0,16040,41070,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2012,State Department,Water Resources Control Board,,"Executive Officer III, Regional Water Quality Control Board/Water Resources Control Board",,,,120204,130128,,124170,0,0,102,124272,24399,0,0,16040,40440,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
