Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2010,State Department,Wildlife Conservation Board,,Senior Land Agent (Specialist),,,,65292,79356,,60045,0,47107,0,107152,6561,0,0,2818,9379,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,"Executive Director, Wildlife Conservation Board/Department Of Fish And Game",,,,107712,116508,,98004,0,0,78,98082,17468,0,0,1991,19458,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Senior Land Agent (Specialist),,,,65292,79356,,48342,0,36221,0,84563,7306,0,0,7187,14493,,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,"C.E.A., Range 3",,,,74076,160572,,80919,0,0,0,80919,14654,0,0,4859,19513,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Senior Land Agent (Specialist),,,,65292,79356,,69078,0,0,0,69078,12698,0,0,5313,18011,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Public Land Management Specialist IV,,,,65292,79332,,67158,0,0,1655,68813,12994,0,0,10403,23397,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Public Land Management Specialist IV,,,,65292,79332,,68523,0,0,0,68523,12694,0,0,5636,18330,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Public Land Management Specialist IV,,,,65292,79332,,68491,0,0,0,68491,12694,0,0,5313,18007,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Senior Land Agent (Specialist),,,,65292,79356,,68457,0,0,0,68457,12850,0,0,10723,23573,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,"Attorney, Range D",,,,76164,93936,,58385,0,8722,0,67107,3406,0,0,9330,12735,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
2010,State Department,Wildlife Conservation Board,,Public Land Management Specialist IV,,,,65292,79332,,62936,0,0,0,62936,11248,0,0,2873,14120,2.00% @ 55,https://www.calhr.ca.gov,,07/01/2014,,,,
