Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,121914,0,30914,4252,157080,25836,0,0,18770,44606,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Executive Officer, Board of State and Community Corrections",False,False,,143424,159936,,147506,0,0,5349,152854,41926,0,0,14996,56922,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Chair, Board of State and Community Corrections",False,False,,143424,159936,,152733,0,0,30,152763,18503,0,0,124,18627,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,97132,0,50586,0,147719,19607,0,0,7503,27110,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"C.E.A., Range B",False,False,,82956,190620,,140598,0,0,5285,145883,27456,0,0,1984,29440,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"General Counsel, Board of State and Community Corrections",False,False,,131100,146016,,139576,0,0,5404,144979,39183,0,0,19424,58607,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"C.E.A., Range B",False,False,,82956,190620,,135916,0,0,5262,141177,27456,0,0,19424,46880,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"C.E.A., Range B",False,False,,82956,190620,,137398,0,0,0,137398,38178,0,0,14996,53174,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,129729,0,0,4951,134680,25728,0,0,4249,29977,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,127186,0,0,4813,131999,0,0,0,0,0,,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,126470,0,0,4951,131422,25728,0,0,10001,35730,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,127738,0,0,0,127738,25728,0,0,10001,35730,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,122484,0,0,4951,127436,25728,0,0,21689,47418,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,121413,0,0,4951,126365,25728,0,0,17261,42990,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,121480,0,0,4388,125869,25728,0,0,17261,42990,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,125563,0,0,0,125563,25728,0,0,17261,42990,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,120048,0,0,4368,124416,25728,0,0,21689,47418,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,124191,0,0,0,124191,25133,0,0,9946,35079,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,123904,0,0,0,123904,25728,0,0,17261,42990,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,121714,0,0,-560,121155,25728,0,0,17261,42990,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,121138,0,0,0,121138,24983,0,0,21627,46610,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"C.E.A., Range B",False,False,,82956,190620,,99305,0,0,14838,114143,30994,0,0,19424,50419,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,113931,0,0,-54,113877,23832,0,0,21520,45352,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Communications Director,False,False,,107304,119520,,112985,0,0,0,112985,31859,0,0,14996,46856,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,111243,0,0,0,111243,23354,0,0,17052,40406,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,110864,0,0,0,110864,22627,0,0,9724,32351,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,108590,0,0,-527,108063,23033,0,0,17027,40060,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,92700,0,0,13027,105727,21836,0,0,16790,38627,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,104743,0,0,0,104743,21931,0,0,16926,38857,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Research Specialist III -Various Studies-, Range A",False,False,,87264,108720,,101578,0,0,0,101578,29020,0,0,19094,48114,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,100859,0,0,0,100859,20977,0,0,21274,42251,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,99975,0,0,0,99975,22120,0,0,21378,43498,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,94238,0,0,3279,97517,20977,0,0,21274,42251,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager III,False,False,,91116,103452,,93435,0,0,3303,96738,26448,0,0,7736,34185,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Data Processing Manager II,False,False,,78600,103320,,95953,0,0,0,95953,26533,0,0,1735,28268,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,93732,0,0,0,93732,20583,0,0,21236,41819,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,87951,0,0,7,87958,18008,0,0,15493,33501,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager I,False,False,,68268,84816,,79535,0,0,3137,82672,16368,0,0,19424,35792,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Research Program Specialist I,False,False,,63060,78936,,78218,0,0,2500,80718,21182,0,0,2471,23653,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Research Manager III -General-,False,False,,91116,103452,,80413,0,0,295,80708,22822,0,0,5362,28183,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager I,False,False,,68268,84816,,78821,0,0,0,78821,21208,0,0,3340,24549,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Accounting Analyst, Range A",False,False,,60264,75480,,65913,9926,0,2500,78339,18443,0,0,7031,25474,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager II (Managerial),False,False,,82956,94236,,68081,0,0,4780,72861,20059,0,0,14996,35055,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager I,False,False,,68268,84816,,64450,0,0,6119,70569,17246,0,0,19506,36752,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,67211,0,0,2517,69728,12940,0,0,1804,14744,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,66967,0,0,2500,69467,12938,0,0,1804,14742,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Staff Information Systems Analyst (Specialist), Range A",False,False,,66084,86904,,66774,0,0,2650,69425,19172,0,0,14435,33607,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,66847,0,0,2500,69347,19283,0,0,7257,26539,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,65948,0,0,2500,68448,17736,0,0,2833,20568,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Staff Services Manager I,False,False,,68268,84816,,66558,0,0,1371,67928,13767,0,0,19424,33191,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,64351,0,0,2500,66851,12377,0,0,1804,14181,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Systems Software Specialist I (Technical), Range A",False,False,,66072,86880,,64145,0,0,2474,66620,18091,0,0,7197,25288,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Senior Accounting Officer (Specialist), Range A",False,False,,57408,71856,,66523,0,0,0,66523,19399,0,0,19376,38774,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Senior Management Auditor,False,False,,74940,97776,,62584,0,0,2500,65084,17526,0,0,7388,24914,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,62354,0,0,2500,64854,19238,0,0,14449,33688,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Assistant Information Systems Analyst, Range C",False,False,,50124,65892,,60996,0,0,3104,64101,12612,0,0,14435,27048,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Staff Information Systems Analyst (Specialist), Range A",False,False,,66084,86904,,60785,378,0,2500,63663,17042,0,0,7058,24100,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,59422,0,0,2500,61922,16663,0,0,6832,23495,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,54819,0,0,6794,61612,16309,0,0,18910,35219,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Assistant Information Systems Analyst, Range C",False,False,,50124,65892,,57956,593,0,2500,61049,15451,0,0,1804,17255,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,57664,339,0,2500,60502,16792,0,0,14435,31227,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,57873,0,0,2500,60373,16261,0,0,7058,23319,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,31519,0,28710,0,60228,6194,0,0,2352,8547,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,Research Program Specialist I,False,False,,63060,78936,,57660,0,0,2500,60160,16293,0,0,7297,23590,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,60155,0,0,-54,60102,12422,0,0,5662,18085,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,57577,0,0,2229,59806,16663,0,0,7058,23721,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Accounting Administrator I (Specialist), Range A",False,False,,63060,78936,,55428,0,0,2500,57928,16032,0,0,14449,30481,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Staff Services Analyst (General), Range C",False,False,,47724,59760,,54281,0,0,2500,56781,15769,0,0,18119,33889,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Governmental Program Analyst, Range A",False,False,,57408,71856,,53420,196,0,2500,56116,11323,0,0,18910,30233,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Associate Budget Analyst, Range A",False,False,,57408,71856,,51623,1130,0,2500,55253,15253,0,0,18841,34094,2.00% @ 55,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Field Representative, Board of Correction",False,False,,106248,132600,,54949,0,0,53,55002,0,0,0,0,0,,https://www.calhr.ca.gov,,07/31/2018,,,True,
2017,State Department,Board of State and Community Corrections,,"Staff Services Analyst (General), Range C",False,False,,47724,59760,,50730,0,0,2500,53230,13506,0,0,2086,15592,2.00% @ 60,https://www.calhr.ca.gov,,07/31/2018,,,True,
