Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,State Department,Governor's Office of Business & Economic Development,,"Executive Director, California Infrastructure and Economic Development Bank",False,False,,142728,159000,,153617,0,0,0,153617,37405,0,0,1984,39389,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director, Legal Affairs",False,False,,122388,136308,,132370,0,0,1068,133438,33493,0,0,15119,48612,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Director, Go-Biz",False,False,,133884,149172,,126290,0,0,2430,128720,31963,0,0,18200,50164,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"C.E.A., Range C",False,False,,77436,172908,,125808,0,0,543,126351,32211,0,0,18200,50411,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Chief Deputy Executive Director,False,False,,115608,128808,,105682,0,16647,2453,124782,26116,0,0,-7465,18652,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Director, California Film Commission",False,False,,115608,128808,,118785,0,0,2832,121616,30163,0,0,18200,48363,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Chief Deputy Director, Governor's Office of Business and    Economic Development",False,False,,115608,128808,,117999,0,0,2222,120222,29803,0,0,18200,48004,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Attorney III, Range A",False,False,,96384,123660,,117949,0,0,1160,119109,30046,0,0,6848,36895,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director of External Affairs, California Infrastructure and Economic Development Bank",False,False,,110220,122796,,114459,0,0,105,114564,28619,0,0,7268,35887,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director, Business Investment Services",False,False,,104988,117000,,114359,0,0,0,114359,28357,0,0,7268,35625,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director, International Affairs and Business Development",False,False,,110220,122796,,107354,0,0,0,107354,27943,0,0,18200,46143,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director, Innovation and Entrepreneurship",False,False,,100176,108324,,101953,0,0,2050,104003,26636,0,0,18200,44837,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Systems Software Specialist III (Supervisory),False,False,,80496,105804,,99899,0,0,1985,101884,25107,0,0,6940,32047,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Chief Credit Officer, I-Bank",False,False,,102180,113796,,99009,0,0,1962,100971,25406,0,0,14024,39430,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Staff Services Manager II (Supervisory),False,False,,69960,86940,,74796,0,25111,0,99907,19289,0,0,12856,32145,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Senior Business Development Specialist- L.A.,False,False,,91092,101472,,97284,0,0,1818,99103,23717,0,0,7268,30985,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Film and Tv Tax Credit Program Director, California Film Commission",False,False,,95544,106440,,99005,0,0,18,99023,24491,0,0,1984,26475,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Director, Go-Biz",False,False,,133884,149172,,65598,0,30292,39,95929,16368,0,0,9100,25468,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Deputy Director, California Film Commission",False,False,,95544,106440,,95367,0,0,30,95397,20046,0,0,7268,27314,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Senior Business Development Specialist,False,False,,91092,98508,,94612,0,0,0,94612,13983,0,0,7268,21252,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Attorney III, Range A",False,False,,96384,123660,,92441,0,0,922,93364,24403,0,0,17648,42051,2.00% @ 60,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,Deputy Director of Zero Emission Vehicle Infrastructure,False,False,,104988,117000,,89164,0,0,0,89164,22862,0,0,18200,41062,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
2015,State Department,Governor's Office of Business & Economic Development,,"Systems Software Specialist II (Technical), Range A",False,False,,69768,91704,,89159,0,0,0,89159,21567,0,0,1804,23371,2.00% @ 55,https://www.calhr.ca.gov,,08/02/2016,,,,
