Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,University of California,"University of California, Merced",UC - Merced,Chancellor,False,False,,0,0,,313875,0,0,28291,342166,33725,0,0,6318,40043,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Exec Vc And Provost,False,False,,0,0,,280929,0,0,25281,306210,34420,0,0,12389,46809,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc Budget And Planning,False,False,,0,0,,265933,0,0,18029,283962,33248,0,8374,15562,57184,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,Admin Stipend|Res-Ay-1/9,0,0,,183950,0,0,78528,262478,25988,0,2159,0,28147,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Dean,False,False,,0,0,,253024,0,0,0,253024,32507,0,0,9715,42222,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc Rsch,False,False,,0,0,,239861,0,0,0,239861,30816,0,0,12389,43205,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc Dev And Univ Rel,False,False,,0,0,,228077,0,0,8916,236993,29302,0,12541,11376,53219,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,Prof-Ay|Res-Ay-1/9,0,0,,171875,0,0,63920,235795,22212,0,2177,11357,35746,2.5% @ 65,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,Res-Ay-1/9,0,0,,172725,0,0,55944,228669,22191,0,1958,1893,26042,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,Prof-Ay|Res-Ay-1/9,0,0,,196922,0,0,24992,221914,23740,0,874,12389,37003,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Admin Stipend|Res-Ay-1/9,0,0,,131067,0,0,89571,220638,22544,0,1563,16517,40624,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Physcn 4,False,False,Admin Stipend With Mgt Ttl,0,0,,198146,0,0,19572,217718,27969,0,0,17668,45637,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,,0,0,,216867,0,0,0,216867,27862,0,0,17668,45530,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,HR Mgr 3,False,False,,0,0,,121313,0,0,92904,214217,15109,0,0,10324,25433,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc Bus Admst,False,False,,0,0,,200538,0,0,13150,213688,32482,0,13550,11727,57759,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Dean,False,False,,0,0,,185392,0,0,25760,211152,22176,0,0,2653,24829,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Dean,False,False,,0,0,,206550,0,0,0,206550,26537,0,0,6318,32855,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,Res-Ay-1/9,0,0,,183750,0,0,22397,206147,23607,0,783,11376,35766,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Act/Interim Dean,False,False,Res-Ay-1/9|Prof-Ay-B/E/E,0,0,,166381,0,0,32953,199334,21741,0,1048,18953,41742,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Admin Mgr 4,False,False,,0,0,,198344,0,0,0,198344,25482,0,0,12389,37871,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Faculty Consultant|Res-Ay-1/9,0,0,,138750,0,0,54341,193091,17826,0,1628,18953,38407,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay-B/E/E,False,False,,0,0,,190533,0,0,0,190533,24479,0,0,10771,35250,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9,0,0,,139408,0,0,46763,186171,17910,0,1636,12204,31750,2.5% @ 65,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc Stdt Affairs,False,False,Admin Mgr 4,0,0,,184796,0,0,0,184796,24008,0,0,17668,41676,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Vc IT,False,False,,0,0,,169167,0,0,13943,183110,22016,0,8458,10401,40875,2.5% @ 65,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Fundraising Mgr 4,False,False,,0,0,,181160,0,0,0,181160,23302,0,0,12389,35691,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9,0,0,,161700,0,0,18093,179793,20774,0,633,169,21576,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9,0,0,,167583,0,0,8922,176505,21530,0,312,6284,28126,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9,0,0,,133167,0,0,42489,175656,17109,0,1487,5871,24467,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,,0,0,,175567,0,0,0,175567,22556,0,0,11037,33593,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Admin Mgr 4,False,False,,0,0,,175203,0,0,0,175203,22509,0,0,5889,28398,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9,0,0,,133125,0,0,41929,175054,17103,0,1467,6778,25348,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Admin Mgr 4,False,False,,0,0,,155891,0,0,18706,174597,19661,0,0,507,20168,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Dean,False,False,Vice Provost,0,0,,173377,0,0,0,173377,22285,0,0,6318,28603,2.5% @ 65,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
2014,University of California,"University of California, Merced",UC - Merced,Prof-Ay,False,False,Res-Ay-1/9|Prof-Fy,0,0,,129241,0,0,41189,170430,16669,0,1441,6778,24888,2.5% @ 60,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,07/11/2016,Merced,,,
