Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2017,University of California,"University of California, Riverside",UC - Riverside,HS Assoc Clin Prof-Hcomp,False,False,Admin Stipend,0,0,,133518,0,0,680216,813734,18692,0,0,7230,25922,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Dean,False,False,,0,0,,642317,0,0,150000,792317,37892,0,0,7312,45204,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Prof-Hcomp,False,False,Admin Stipend|HS Clin Prof-Hcomp,0,0,,222625,0,0,327375,550000,38167,0,0,8313,46480,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Prof Of Clin-Hcomp,False,False,Admin Stipend,0,0,,186012,0,0,335625,521637,33041,0,0,20475,53516,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Prof Of Clin-Hcomp,False,False,Admin Stipend,0,0,,169719,0,0,277158,446877,25802,0,0,13197,38999,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,HS Asst Clin Prof-Hcomp,False,False,Admin Stipend,0,0,,85683,0,0,347442,433125,14025,0,0,10956,24981,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Chancellor,False,False,,0,0,,399588,0,0,8916,408504,37790,0,0,14397,52187,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,HS Assoc Clin Prof-Hcomp,False,False,Admin Stipend,0,0,,132184,0,0,266112,398296,25505,0,0,17250,42755,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,HS Asst Clin Prof-Hcomp,False,False,Admin Stipend,0,0,,108602,0,0,287231,395833,16662,0,0,10210,26872,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
2017,University of California,"University of California, Riverside",UC - Riverside,Prof-Ay,False,False,Agron Aes-Ay|Res-Ay-1/9,0,0,,292633,0,0,99400,392033,37356,0,2362,7311,47029,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/25/2018,Riverside,,True,
