Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,300983,0,0,150000,450983,5818,0,0,19441,25259,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,323883,0,0,101803,425686,27223,0,0,10858,38081,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Chancellor,False,False,,0,0,,405521,0,0,0,405521,26043,0,0,21986,48029,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Exec VC And Provost,False,False,,0,0,,389812,0,0,0,389812,17820,0,0,4556,22376,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Dean,False,False,,0,0,,353400,0,0,26000,379400,24035,0,0,10792,34827,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Res-Lr Scl-Ay-1/9-B/E/E,0,0,,276200,0,0,102910,379110,23231,0,0,10792,34023,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Director|Department Chair|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,265367,0,0,109480,374847,24113,0,0,22494,46607,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Director|Prof-Ay-1/9,0,0,,295583,0,0,56470,352053,23624,0,0,10858,34482,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Department Chair,0,0,,170783,0,0,176408,347191,8326,0,0,11345,19671,N/A,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,VC Rsch,False,False,Faculty Admin Transition Lv-Fy,0,0,,345522,0,0,0,345522,24386,0,0,30533,54919,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Astronomer,False,False,Faculty Asst To Vice Chancellor|Res-Lr Scl-Fy|Prof-Fy,0,0,,273408,0,0,71639,345047,23452,0,0,23037,46489,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Res-Lr Scl-Ay-1/9-B/E/E|Director,0,0,,248667,0,0,95917,344584,21640,0,0,10858,32498,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,VC Bus Admstn,False,False,,0,0,,343736,0,0,0,343736,24382,0,16975,10858,52215,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,VC Dev And Univ Rel,False,False,,0,0,,339188,0,0,1680,340868,13664,0,0,20019,33683,N/A,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Director|Res-Lr Scl-Ay-1/9,0,0,,235383,0,0,101573,336956,21755,0,0,21950,43705,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Department Chair|Res-Lr Scl-Ay-1/9,0,0,,245683,0,0,90238,335921,21369,0,0,23669,45038,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Assoc Dean|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,288733,0,0,42100,330833,23445,0,0,30533,53978,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Director|Prof-Ay-1/9-B/E/E|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,180200,0,0,149326,329526,16416,0,0,23037,39453,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Res-Lr Scl-Ay-1/9-B/E/E,0,0,,293967,0,0,32544,326511,24054,0,0,21950,46004,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,265783,0,0,59353,325136,22340,0,0,23037,45377,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Astronomer,False,False,Faculty Asst To Provost/Dean|Department Chair|Prof-Fy,0,0,,254217,0,0,66719,320936,24061,0,0,29608,53669,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Director|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,175367,0,0,136908,312275,16010,0,0,15250,31260,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Act Prof-Ay,False,False,,0,0,,310483,0,0,0,310483,13074,0,0,10858,23932,N/A,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Department Chair|Res-Lr Scl-Ay-1/9,0,0,,244067,0,0,62971,307038,21079,0,0,30533,51612,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Director|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,219892,0,0,86565,306457,19758,0,0,30533,50291,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Dean,False,False,,0,0,,301408,0,0,0,301408,24287,0,0,10858,35145,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,224483,0,0,74500,298983,18869,0,0,30533,49402,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,245167,0,0,49825,294992,20627,0,0,0,20627,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Department Chair|Res-Lr Scl-Ay-1/9,0,0,,212217,0,0,82602,294819,18859,0,0,6579,25438,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Assoc Dean|Department Chair,0,0,,249683,0,0,42783,292466,23875,0,0,10858,34733,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,,0,0,,291283,0,0,0,291283,24483,0,0,10858,35341,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9|Department Chair,0,0,,219883,0,0,69367,289250,19748,0,0,19441,39189,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,241306,0,0,47866,289172,20274,0,0,30533,50807,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,222800,0,0,65149,287949,10185,0,0,18826,29011,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Dean,False,False,,0,0,,287842,0,0,0,287842,5935,0,0,19441,25376,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Director,False,False,Prof-Ay,0,0,,287092,0,0,0,287092,24645,0,0,10858,35503,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Chf Campus Counsel,False,False,,0,0,,286801,0,0,0,286801,13111,0,0,8284,21395,2016 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Prof-Ay-1/9,0,0,,214083,0,0,71026,285109,17995,0,0,1232,19227,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,213583,0,0,70900,284483,17953,0,0,8284,26237,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Res-Lr Scl-Ay-1/9,0,0,,234467,0,0,49825,284292,19696,0,0,11855,31551,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Vice Provost,False,False,,0,0,,282500,0,0,0,282500,23757,0,0,21950,45707,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay-B/E/E,False,False,Department Chair|Res-Lr Scl-Ay-1/9-B/E/E,0,0,,154500,0,0,127951,282451,14252,0,0,16217,30469,2013 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Dean,False,False,Act/Interim Vice Provost,0,0,,248600,0,0,33147,281747,23670,0,0,21950,45620,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Director|Res-Lr Scl-Ay-1/9,0,0,,248983,0,0,30997,279980,21011,0,0,21950,42961,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Director|College Provost,0,0,,210862,0,0,67904,278766,18788,0,0,18826,37614,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Asst Prof-Ay,False,False,,0,0,,118367,0,0,159870,278237,5411,0,0,6167,11578,N/A,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Physcn Shs Mgr 2,False,False,,0,0,,253128,0,0,25008,278136,12715,0,0,30533,43248,N/A,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
2021,University of California,"University of California, Santa Cruz",UC - Santa Cruz,Prof-Ay,False,False,Prof-Ay-1/9,0,0,,226725,0,0,49284,276009,19064,0,0,1652,20716,1976 Tier,https://ucnet.universityofcalifornia.edu/compensation-and-benefits/,,09/27/2022,Santa Cruz,,False,
