Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,Superior Court,Alameda County Superior Court,Administration,Assistant Executive Officer,False,True,,134825,175052,,163464,,68792,,232256,,,,1089,1089,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Operations,Court Services Manager,False,True,,92892,120681,,131243,,65447,,196690,,,,13928,13928,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judicial,Commissioner,False,True,,163155,163155,,182274,,,,182274,,,,13928,13928,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,178294,0,0,0,178294,0,,,1804,1804,Judicial Retirement System,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Legal,Bureau Chief II,False,True,,115211,140899,,132661,,45069,,177730,,,,6459,6459,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judicial,Commissioner,False,True,,163155,163155,,176085,,,,176085,,,,13928,13928,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,166173,0,0,8293,174466,0,,,13422,13422,Judicial Retirement System,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judicial,Commissioner,False,True,,163155,163155,,174191,,,,174191,,,,1263,1263,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judicial,Commissioner,False,True,,163155,163155,,172978,,,,172978,,,,7046,7046,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
2013,Superior Court,Alameda County Superior Court,Judicial,Commissioner,False,True,,163155,163155,,172191,,,,172191,,,,13928,13928,,https://www.alameda.courts.ca.gov/general-information/employment,,08/05/2016,Alameda,,,
