Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,Superior Court,Alpine County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,187511,0,0,0,187511,0,0,0,14020,14020,Judicial Retirement System,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,167781,0,0,-175,167606,0,0,0,6658,6658,Judicial Retirement System,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Supervising Court Clerk,False,True,,54317,66023,,66023,6737,1270,63,74093,11619,0,0,27688,39307,2% @ 55,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Fiscal Manager,False,True,,51426,62509,,62538,947,0,0,63485,11006,0,0,10570,21576,2% @ 55,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Senior Court Clerk,False,True,,50175,60983,,60983,1099,0,0,62082,10732,0,0,20995,31727,2% @ 55,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Court Executive Officer,False,True,,85000,85000,,49538,0,5397,0,54935,3320,0,0,10416,13736,2% @ 62,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,179541,189041,,33342,0,0,223,33565,0,0,0,1179,1179,Judicial Retirement System,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Court Executive Officer,False,True,,85000,85000,,19615,0,0,0,19615,3562,0,0,7015,10577,2% @ 55,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,
2015,Superior Court,Alpine County Superior Court,Alpine,Record Retention,False,True,,31200,37924,,4361,0,0,0,4361,0,0,0,0,0,N/A,https://www.alpine.courts.ca.gov/,,07/15/2016,Alpine,,,

