Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,Superior Court,Amador County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,231907,0,0,0,231907,0,,,8412,8412,Judicial Retirement System,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,226881,0,0,0,226881,0,,,21647,21647,Judicial Retirement System,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Judges/Courtroom,Commissioner,False,True,,174236,174236,,174236,0,0,28,174264,12936,0,0,9972,22908,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Executive Management,Court Executive Officer,False,True,Administrative Services Manager/Human Resources,151311,155952,,151311,0,9645,46,161002,14470,0,0,9972,24442,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,IT,IT Manager,False,True,,80466,116921,,113241,0,21164,9928,144333,10829,0,0,0,10829,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Management,Research Attorney,False,True,Family Law Facilitatory/Self Help Attorney,117600,117600,,114800,0,0,9900,124700,10979,0,0,0,10979,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Fiscal,Administrative Services Director - Human Resources,False,True,,51174,100000,,85839,0,11206,28,97073,8205,0,0,9972,18177,2% @60,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Fiscal,Finance Manager,False,True,,66745,93917,,93917,0,1500,82,95499,8983,0,0,9972,18955,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Senior Court Reporter w/Realtime,False,True,,66144,93044,,84890,565,0,10026,95481,8514,0,0,0,8514,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Senior Court Reporter w/Realtime,False,True,,66144,93044,,86593,1566,0,2787,90946,8427,0,0,19008,27435,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Program Manager,False,True,,42931,91219,,83549,0,4689,50,88288,7991,0,0,18729,26720,2%@62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Executive Assistant,False,True,,45882,78312,,69085,0,3868,13173,86126,7092,0,0,0,7092,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Court Clerk IV,False,True,,52395,66893,,60550,0,0,14413,74963,6052,0,0,0,6052,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Management,Court Operations Manager,False,True,,50877,88000,,65762,99,2498,2784,71143,6542,0,0,9936,16478,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Court Clerk IV,False,True,,52395,66893,,62290,0,0,6215,68505,5959,0,0,0,5959,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Court Clerk IV,False,True,,52395,66893,,62006,0,0,3694,65700,6254,0,0,9924,16178,2% @55,www.amadorcourt.org,,07/25/2023,Amador,,False,
2022,Superior Court,Amador County Superior Court,Court Operations,Business Systems Analyst,False,True,,42931,65208,,58329,279,1376,4274,64258,5958,0,0,15545,21503,2% @62,www.amadorcourt.org,,07/25/2023,Amador,,False,
