Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206358,0,0,19328,225686,0,0,0,16799,16799,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,200592,0,0,17528,218120,0,0,0,8041,8041,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,200287,0,0,17152,217439,0,0,0,8041,8041,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,198400,0,0,17593,215993,0,0,0,15534,15534,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,198400,0,0,17528,215928,0,0,0,15534,15534,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,195886,0,0,17530,213416,0,0,0,20101,20101,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,195886,0,0,17530,213416,0,0,0,20101,20101,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Administration,Court Executive Officer,False,True,,192450,192450,,189344,0,19615,3600,212559,16281,,,23849,40130,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,202862,0,0,8610,211472,0,0,0,1805,1805,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,194345,0,0,14190,208535,0,0,0,20101,20101,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,196955,0,0,7515,204470,0,0,0,20101,20101,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,191493,0,0,7500,198993,0,0,0,20008,20008,Judicial Retirement System,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Commissioners,Court Commissioner,False,True,,181758,181758,,178825,0,19291,0,198116,15377,,,19194,34571,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Commissioners,Court Commissioner,False,True,,181758,181758,,178825,0,3526,0,182351,15377,,,13212,28589,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Administration,Deputy Court Executive Officer,False,True,,102426,140124,,133769,0,2670,0,136439,11497,,,13212,24709,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Administration,Deputy Court Executive Officer,False,True,,102426,140124,,124643,0,8476,0,133119,10713,,,17259,27972,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Human Resources,Human Resources Director,False,True,,89436,122354,,104825,0,2111,5280,112216,9012,,,0,9012,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Information Systems,Project Manager,False,True,,83242,93689,,108455,0,2169,0,110624,9321,,,14554,23875,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Administration,Court Operations Manager,False,True,,71655,98029,,93516,0,1867,5280,100663,8037,,,0,8037,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
2019,Superior Court,Butte County Superior Court,Information Systems,Information Systems Manager,False,True,,73126,100041,,88988,0,8615,0,97603,7648,,,23849,31497,2% @ 55,https://www.butte.courts.ca.gov/general-information/human-resources,,09/01/2020,Butte,,False,
