Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Calaveras County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,228056,0,0,0,228056,0,,,18221,18221,Judicial Retirement System,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,223659,0,0,0,223659,0,,,23376,23376,Judicial Retirement System,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Executive Office,Court Executive Officer,False,True,,145687,162509,,135137,0,0,6312,141449,13825,0,0,0,13825,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Technology Services,IT Manager,False,True,,95233,116921,,99354,0,2022,10461,111837,11963,0,0,21080,33043,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Manager,False,True,,87295,106141,,68613,0,31372,9225,109210,7871,0,0,15667,23538,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Executive Office,Lead Court Reporter,False,True,,84564,103823,,94598,0,0,10558,105156,10758,0,0,21080,31838,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Commissioner,Commissioner/Res. Attorney,False,True,,178468,182872,,89575,0,0,620,90195,9378,0,0,7502,16880,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Investigator,Court Investigator,False,True,,68007,82662,,69274,3097,0,8374,80745,7260,0,0,0,7260,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Technology Services,Business Systems Analyst,False,True,,68006,82662,,72504,0,4943,2196,79643,7730,0,0,12341,20071,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk III,False,True,,50654,61570,,59156,246,9472,9067,77941,6656,0,0,1461,8117,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Fiscal Services,Fiscal Analyst - Revenue,False,True,,58504,71112,,68325,0,0,6820,75145,7437,0,0,11392,18829,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk IV,False,True,,55707,67712,,64700,38,0,7507,72245,7321,0,0,21080,28401,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk IV,False,True,,55707,67712,,64334,101,0,7506,71941,7320,0,0,21080,28400,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Fiscal Services,Court Fiscal Technician,False,True,,58632,71268,,65479,0,1293,4989,71761,7354,0,0,12341,19695,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Fiscal Services,Administrative Services Manager,False,True,,87323,106141,,66047,0,507,1886,68440,6736,0,0,17318,24054,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk III,False,True,,50654,61570,,59201,0,0,7451,66652,6509,0,0,10818,17327,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Executive Office,Judicial Support Assistant,False,True,,58638,71275,,59069,0,0,6381,65450,7504,0,0,21080,28584,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Manager,False,True,,87295,106141,,54213,105,0,6288,60606,7716,0,0,25373,33089,2% @ 55,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Executive Office,Court Reporter,False,True,,76877,94384,,47132,0,2970,4866,54968,4828,0,0,0,4828,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Commissioner,Commissioner/Res. Attorney,False,True,,173023,174810,,47699,0,5468,1310,54477,4613,0,0,5222,9835,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk III,False,True,,50654,61570,,47815,0,0,1000,48815,4930,0,0,21080,26010,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk II,False,True,,44047,53539,,42321,0,0,1265,43586,4329,0,0,20814,25143,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
2023,Superior Court,Calaveras County Superior Court,Court Operations,Court Clerk III,False,True,,50654,61570,,40384,0,0,1000,41384,4372,0,0,21080,25452,2% @ 62,www.calaveras.courts.ca.gov,,08/06/2024,Calaveras,,False,
