Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Colusa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,215151,0,0,0,215151,0,,,16194,16194,Judicial Retirement System,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210853,0,0,0,210853,0,,,16194,16194,Judicial Retirement System,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Executive Office,Court Executive Officer,False,True,,121275,121275,,116033,0,7935,12463,136431,14345,0,0,11000,25345,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Fiscal Services,Chief Financial Officer,False,True,,81252,108885,,78860,0,4692,9097,92649,9899,0,0,11000,20899,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Executive Office,Family Law Facilitator Self-Help Attorney,False,True,,99935,133923,,61654,0,0,7255,68909,7568,0,0,5177,12745,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Executive Office,Court Analyst,False,True,,55680,74617,,55558,0,0,6768,62326,6826,0,0,13988,20814,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Operations,Court Operations Supervisor,False,True,,51996,69679,,52155,0,2975,6587,61717,6931,0,0,24597,31528,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Judicial Court Clerk,False,True,,39209,51789,,49310,0,0,6257,55567,6217,0,0,14169,20386,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Judicial Court Clerk,False,True,,39209,51789,,39453,0,0,6650,46103,5544,0,0,24597,30141,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Judicial Court Clerk,False,True,,39209,51789,,39342,0,0,6720,46062,4956,0,0,11000,15956,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Executive Office,Court Operations Manager,False,True,,69528,92419,,31661,0,5002,5210,41873,3917,0,0,8438,12355,3%@60,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Judicial Court Clerk,False,True,,39209,51789,,35304,0,0,6210,41514,4491,0,0,10983,15474,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,32893,43325,,33317,0,0,4939,38256,4256,0,0,16974,21230,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,32893,43325,,32586,0,0,4872,37458,4070,0,0,14169,18239,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,32893,43325,,30843,0,0,6034,36877,4215,0,0,11000,15215,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,35086,46214,,24356,0,477,4225,29058,3155,0,0,9103,12258,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Executive Office,Court Mediator,False,True,,70907,95014,,13887,0,0,3326,17213,1701,0,0,125,1826,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,35086,46214,,12887,0,109,3242,16238,1566,0,0,0,1566,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,
2020,Superior Court,Colusa County Superior Court,Court Services Unit,Legal Processing Clerk,False,True,,32893,43325,,6834,0,0,836,7670,859,0,0,99,958,2%@62,http://www.colusa.courts.ca.gov/,,07/27/2021,Colusa,,False,

