Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Contra Costa County Superior Court,Executive Office,Executive Officer,False,True,,220000,220000,,228024,0,6850,6012,240886,68603,0,1020,30917,100540,2% @ 55,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212383,0,0,12375,224758,0,0,1020,16194,17214,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,221183,0,0,3000,224183,0,0,1020,16194,17214,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216967,0,0,3000,219967,0,0,1020,1806,2826,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216967,0,0,3000,219967,0,0,1020,1806,2826,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216967,0,0,3000,219967,0,0,1020,1806,2826,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216967,0,0,3000,219967,0,0,0,1806,1806,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214975,0,0,3000,217975,0,0,1020,1062,2082,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214258,0,0,3000,217258,0,0,0,2977,2977,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,213000,0,0,3000,216000,0,0,1020,9901,10921,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212448,0,0,3000,215448,0,0,1020,8365,9385,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211852,0,0,3000,214852,0,0,0,16706,16706,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211547,0,0,3000,214547,0,0,0,20917,20917,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211330,0,0,3000,214330,0,0,1020,8365,9385,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211251,0,0,3000,214251,0,0,1020,20824,21844,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211220,0,0,3000,214220,0,0,0,20917,20917,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
2020,Superior Court,Contra Costa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211219,0,0,3000,214219,0,0,0,16194,16194,Judicial Retirement System,https://www.cc-courts.org/general/administration.aspx,,07/27/2021,Contra Costa,,True,
