Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,227375,0,0,0,227375,0,,,8355,8355,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,226972,0,0,0,226972,0,,,22172,22172,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,222499,0,0,0,222499,0,,,22079,22079,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,221533,0,0,13,221546,0,,,10279,10279,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,218035,0,0,0,218035,0,,,22172,22172,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,216002,0,0,-140,215862,0,,,8889,8889,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Administration,Court Executive Officer,False,True,,219606,219606,,201292,,3518,,204810,18887,,,21933,40820,2% @ 60,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Professional Services,Court Research Attorney,False,True,,99445,120890,,180653,,2520,8430,191603,12691,,,11990,24681,2% @ 55,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Commissioner,Court Commissioner,False,True,,191318,191318,,185199,,3779,2256,191234,17592,,0,28886,46478,2% @ 60,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
2022,Superior Court,El Dorado County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,172525,0,0,0,172525,0,,,2377,2377,Judicial Retirement System,https://www.eldorado.courts.ca.gov/career-opportunities,,07/25/2023,El Dorado,,False,
