Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,189420,0,0,1425,190845,0,0,0,17717,17717,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,177473,0,0,0,177473,0,0,0,14030,14030,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Administration,Court Executive Officer,False,True,,0,0,,177171,0,0,0,177171,84671,,0,9100,93771,2.5% at 55,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,175897,0,0,0,175897,0,0,0,1804,1804,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,175361,0,0,0,175361,0,0,0,7106,7106,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,174871,0,0,0,174871,0,0,0,2114,2114,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,174159,0,0,0,174159,0,0,0,13695,13695,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,174078,0,0,0,174078,0,0,0,13695,13695,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,173685,0,0,0,173685,0,0,0,7106,7106,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
2014,Superior Court,Fresno County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,175110,184610,,173536,0,0,0,173536,0,0,0,7551,7551,Judicial Retirement System,https://www.fresno.courts.ca.gov/general-information/employment,,07/25/2016,Fresno,,,
