Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,Glenn County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,203181,0,0,28,203209,0,,,15265,15265,Judicial Retirement System,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,120960,0,0,0,120960,0,,,8977,8977,Judicial Retirement System,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,CEO,False,True,,135000,135000,,107440,0,0,0,107440,0,0,0,0,0,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,Finance Manager,False,True,,80826,98245,,98045,0,0,0,98045,7909,0,1950,24645,34504,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,Operations Manager,False,True,,70533,85733,,83428,0,0,4219,87647,5634,0,1425,20054,27113,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,Operations Manager,False,True,,70533,85733,,59279,0,0,4797,64076,5087,0,750,10598,16435,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Finance,Fiscal Technician,False,True,,48202,58590,,57558,155,0,2609,60322,4261,0,1800,10695,16756,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,Administrative Assistant,False,True,,53888,65501,,47062,75,0,5090,52227,4381,0,1950,20156,26487,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk II,False,True,,41549,50503,,46641,0,0,4519,51160,4152,0,0,10105,14257,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk III,False,True,,41549,50503,,46454,140,0,2422,49016,3953,0,0,10046,13999,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Finance/Collections,Clerk IV,False,True,,47066,57209,,42160,793,0,4860,47813,4683,0,0,20254,24937,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk III,False,True,,41549,50503,,38861,0,7474,686,47021,2554,0,0,,2554,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk III,False,True,,41549,50503,,45144,0,0,0,45144,3990,0,0,17622,21612,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk III,False,True,,41549,50503,,42264,0,0,2375,44639,2968,0,0,,2968,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Collections,Clerk III,False,True,,41549,50503,,42427,0,0,0,42427,3800,0,0,19772,23572,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk II,False,True,,37792,45937,,38242,0,0,2875,41117,3135,0,0,2548,5683,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Custodian,False,True,,35736,43437,,40533,0,0,0,40533,3268,0,0,10105,13373,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk II,False,True,,37792,45937,,37784,425,0,0,38209,3230,0,0,10105,13335,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk II,False,True,,37792,45937,,36266,287,0,0,36553,3243,0,0,17622,20865,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Collections,Clerk II,False,True,,37792,45937,,32410,13,0,1840,34263,2824,0,0,10105,12929,2%@62,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk I,False,True,,34034,41369,,17723,0,1384,0,19107,1269,0,0,,1269,2%@62,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Administration,CEO,False,True,,135000,135000,,18383,0,0,120,18503,959,0,0,4105,5064,2.5%@55,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Operations,Clerk I,False,True,,34034,41369,,17685,0,0,0,17685,1804,0,0,,1804,2%@62,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
2018,Superior Court,Glenn County Superior Court,Finance,Fiscal Technician,False,True,,48202,58590,,16131,0,0,0,16131,1463,0,375,10192,12030,2%@62,https://www.glenn.courts.ca.gov/general-information/job-opportunities,,09/24/2019,Glenn,,False,
