Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,229647,0,0,0,229647,0,,,21740,21740,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,227304,0,0,0,227304,0,,,1069,1069,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,225681,0,0,0,225681,0,,,21647,21647,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,224845,0,0,0,224845,0,,,8900,8900,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,222647,0,0,0,222647,0,,,9237,9237,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,220685,0,0,0,220685,0,,,17173,17173,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Executive,Court Executive Officer,False,True,,154946,224008,,218143,0,0,2400,220543,14372,0,0,13512,27884,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,221674,231174,,220482,0,0,0,220482,0,,,17173,17173,Judicial Retirement System,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Commissioner,Commissioner,False,True,,196498,196498,,192257,0,0,2400,194657,20474,0,0,13512,33986,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Operations,Operations Manager,False,True,,83101,121460,,98474,0,4361,13108,115943,12096,0,0,20604,32700,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Self Help Division,Family Law Facilitator,False,True,,103000,127000,,109194,0,0,2400,111594,11719,0,0,13415,25134,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,IT Division,IT Manager,False,True,,83101,121460,,97369,0,1933,2400,101702,10285,0,0,9292,19577,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,HR Division,HR Manager,False,True,,83101,121460,,89736,0,0,2975,92711,9758,0,0,13853,23611,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Self Help Division,Child Custody Recommending Counselor,False,True,,74769,90882,,57219,0,29710,2701,89630,6254,0,0,11723,17977,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Finance Division,Fi Manager,False,True,,83101,121460,,78321,0,2605,6521,87447,9140,0,0,20604,29744,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Assistant Operation,Operation Supervisor,False,True,,59234,92704,,70033,0,3194,13868,87095,8896,0,0,13205,22101,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Reporters,Reporter,False,True,,64472,78366,,75839,0,0,9603,85442,8853,0,0,17604,26457,2% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Operations,Assistant Operations Manager,False,True,,69896,100698,,82173,0,0,2400,84573,8686,0,0,13359,22045,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,IT Division,IT Systems Administrator,False,True,,65736,96075,,75608,0,1450,2400,79458,7987,0,0,9292,17279,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,HR Division,HR Manager,False,True,,83101,121460,,60867,0,17188,1200,79255,6507,0,0,10186,16693,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Operations,Assistant Operations Manager,False,True,,69896,100698,,73928,0,0,4920,78848,7808,0,0,600,8408,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judicial Services Division,Research Attorney I,False,True,,103000,127000,,54362,0,20837,1200,76399,5931,0,0,10262,16193,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Reporters,Reporter,False,True,,64472,78366,,73286,0,0,3061,76347,8088,0,0,17604,25692,2% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,HR Division,Human Resources Analyst II,False,True,,49757,73450,,66341,0,2127,5850,74318,7654,0,0,17604,25258,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Reporters,Reporter,False,True,,64472,78366,,56917,0,0,16078,72995,7580,0,0,17604,25184,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Reporters,Reporter,False,True,,64472,78366,,66170,0,0,6242,72412,7615,0,0,20544,28159,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Court Reporters,Reporter,False,True,,64472,78366,,55674,0,0,11711,67385,7137,0,0,20544,27681,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Courtroom Clerks,Deputy Clerk VI,False,True,,51317,62376,,56053,0,0,8410,64463,6291,0,0,752,7043,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Assistant Operation,Operation Supervisor,False,True,,59234,92704,,60519,139,0,3203,63861,6608,0,0,13205,19813,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Courtroom Clerks,Deputy Clerk VI,False,True,,51317,62376,,56826,0,0,6416,63242,6577,0,0,9292,15869,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Judicial Services Division,Senior Judicial Secretary,False,True,,50678,61599,,56344,3613,0,3108,63065,6385,0,0,20604,26989,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Courtroom Clerks,Deputy Clerk VI,False,True,,51317,62376,,56419,0,0,4777,61196,6177,0,0,1578,7755,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Tech Help,Technology Specialist I,False,True,,58374,70954,,57223,190,0,2400,59813,6926,0,0,20451,27377,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Courtroom Clerks,Deputy Clerk V,False,True,,46231,56195,,52818,0,0,5157,57975,6117,0,0,20604,26721,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Self Help Division,Paralegal,False,True,,41271,50165,,47727,0,0,10158,57885,6020,0,0,13415,19435,2.7% @ 55,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
2022,Superior Court,Humboldt County Superior Court,Courtroom Clerks,Deputy Clerk V,False,True,,46231,56195,,54647,243,0,2980,57870,5826,0,0,13262,19088,2% @ 62,https://www.humboldt.courts.ca.gov/general-information/human-resources-and-employment-0,,07/25/2023,Humboldt,,False,
