Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,255499,0,0,12932,268431,0,,,16375,16375,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Executive Office,Court Executive Officer,False,True,,168806,191313,,185730,0,0,43099,228829,52935,,,1384,54319,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,0,220645,0,,,1807,1807,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218526,0,0,0,218526,0,,,17897,17897,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,218199,0,0,0,218199,0,,,17897,17897,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,216265,0,0,0,216265,0,,,127,127,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213733,0,0,0,213733,0,,,8343,8343,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213319,0,0,0,213319,0,,,16112,16112,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213204,0,0,0,213204,0,,,8343,8343,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213116,0,0,0,213116,0,,,16112,16112,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,209490,0,0,0,209490,0,,,20703,20703,Judicial Retirement System,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Judges & Courtroom Support,Court Referee,False,True,,168806,168806,,159943,0,0,5483,165426,45509,,,9746,55255,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Business & Facility Services,Facilities/Security Director,False,True,,89631,114394,,113516,0,0,9801,123317,32226,,,2420,34646,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Other Support Operations,Court Admin/Ops Director,False,True,,89631,114394,,113516,0,0,9801,123317,32226,,,2420,34646,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Other Support Operations,Court Operations Director,False,True,,89631,114394,,113516,0,0,9801,123317,32226,,,2420,34646,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
2021,Superior Court,Imperial County Superior Court,Human Resources,Human Resources Director,False,True,,89631,114394,,113216,0,0,9801,123017,32226,,,2420,34646,Too Many Formula to List,www.imperial.courts.ca.gov,,07/26/2022,Imperial,,False,
