Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,239717,0,0,1956,241673,0,,,1806,1806,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Commissioners,Superior Court Commissioner,False,True,,181911,181911,,182966,0,38220,18782,239968,40441,0,0,23407,63848,1.62% at 65,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,217674,0,0,0,217674,0,,,20917,20917,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216601,0,0,0,216601,0,,,1806,1806,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,216398,0,0,0,216398,0,,,1806,1806,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,215722,0,0,0,215722,0,,,2884,2884,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214661,0,0,0,214661,0,,,601,601,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214513,0,0,0,214513,0,,,16706,16706,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,213318,0,0,0,213318,0,,,2977,2977,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,213318,0,0,0,213318,0,,,2977,2977,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212093,0,0,0,212093,0,,,16573,16573,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210894,0,0,0,210894,0,,,16070,16070,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210894,0,0,0,210894,0,,,16070,16070,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210894,0,0,0,210894,0,,,16070,16070,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210885,0,0,0,210885,0,,,20824,20824,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210853,0,0,0,210853,0,,,16194,16194,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210691,0,0,0,210691,0,,,16070,16070,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210650,0,0,0,210650,0,,,16194,16194,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210648,0,0,0,210648,0,,,8365,8365,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210601,0,0,11,210612,0,,,16981,16981,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
2020,Superior Court,Kern County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210133,0,0,0,210133,0,,,16194,16194,Judicial Retirement System,https://www.kern.courts.ca.gov/,,07/27/2021,Kern,,False,
