Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214031,0,0,7133,221164,0,,,6508,6508,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209656,0,0,6690,216346,0,,,16799,16799,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211433,0,0,0,211433,0,,,1805,1805,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209656,0,0,1110,210766,0,,,16799,16799,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209867,0,0,0,209867,0,,,544,544,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,203689,0,0,1062,204751,0,,,15410,15410,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,186849,0,0,-34,186815,0,,,15304,15304,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Executive Office/Administration,Court Executive Officer,False,True,,,,,176490,,,720,177210,9500,0,0,0,9500,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Executive Office/Administration,Deputy Court Executive & HR Officer,False,True,,90000,118400,,122060,,,720,122780,9500,0,0,0,9500,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Finance,Court Fiscal Officer,False,True,,80000,108000,,111592,,,720,112312,8750,0,0,0,8750,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Family Law,Court Commissioner,False,True,,,,,102922,,,,102922,3958,0,0,0,3958,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Courtroom Services & Support,Staff Attorney II,False,True,,90000,105000,,100662,,,,100662,9500,0,0,0,9500,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Court Interpreters,Court Interpreters Coordinator,False,True,,85758,91208,,93216,69,,432,93717,8750,0,0,1024,9774,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,83333,0,0,10112,93445,0,,,0,0,Judicial Retirement System,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Dept. of Child Support Services,Court Commissioner,False,True,,,,,92145,,,,92145,5700,0,0,5700,11400,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Information Technology,IT Supervisor,False,True,,70000,95000,,89900,1452,,432,91784,9000,0,0,9000,18000,2%@62,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Business & Facilities,Director of Administrative Services,False,True,,80000,95000,,86875,,,720,87595,9500,0,0,6526,16026,2%@55,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Courtroom Services & Support,Staff Attorney I,False,True,,80000,95000,,83683,,,,83683,9500,0,0,0,9500,2%@62,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Family Law,Court Commissioner,False,True,,,,,83506,,,,83506,3562,0,0,3562,7124,2%@62,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
2019,Superior Court,Kings County Superior Court,Family Court Services,Family Court Services Supervisor,False,True,,68000,82654,,82113,,,432,82545,9500,0,0,6012,15512,2%@62,www.kings.courts.ca.gov,,09/01/2020,Kings,,False,
