Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2018,Superior Court,Lake County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,206939,0,0,296,207235,0,,,-41,-41,Judicial Retirement System,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,199542,0,0,0,199542,0,,,15389,15389,Judicial Retirement System,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,198505,0,0,0,198505,0,,,15389,15389,Judicial Retirement System,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Executive,Executive Officer,False,True,,153754,186889,,176070,0,3467,7817,187354,16748,0,0,12487,29235,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,197924,207424,,162278,0,0,-216,162062,0,,,16589,16589,Judicial Retirement System,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Lake,Commissioner/Attorney,False,True,,176310,176310,,120780,0,0,2310,123090,10608,0,0,588,11196,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Operations,Court Operations Manager,False,True,,81399,98941,,96641,0,0,12148,108789,9567,0,0,10630,20197,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Information Technology,Information Technology Manager,False,True,,73259,89047,,85856,0,3034,5683,94573,8151,0,0,11134,19285,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Reporter III,False,True,,68986,83852,,81419,0,0,6253,87672,7357,0,0,0,7357,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Reporter III,False,True,,68986,83852,,80514,0,0,4213,84727,7494,0,0,10785,18279,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Administration,Administrative Services Manager,False,True,,73259,89047,,77757,0,3130,3438,84325,7422,0,0,11500,18922,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Reporter III,False,True,,68986,83852,,79569,0,0,2650,82219,7357,0,0,10318,17675,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Judicial Services Coordinator,False,True,,49493,60159,,57855,11,0,7451,65317,5633,0,0,6040,11673,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Senior Court Clerk,False,True,,49493,60159,,58000,243,0,2656,60899,5344,0,0,10785,16129,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Senior Court Clerk,False,True,,49493,60159,,48286,0,0,5074,53360,4503,0,0,2334,6837,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Senior Court Clerk,False,True,,49493,60159,,47800,0,0,3384,51184,5385,0,0,11500,16885,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Senior Confidential Judicial Assistant,False,True,,43234,52552,,47683,36,0,3396,51115,4774,0,0,10318,15092,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Confidential Judicial Assistant,False,True,,39215,47666,,45622,0,0,2388,48010,4259,0,0,10486,14745,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,42629,94,0,5170,47893,3911,0,0,840,4751,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,41014,0,0,5002,46016,3761,0,0,1344,5105,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,42472,38,0,2855,45365,3997,0,0,10318,14315,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,41604,0,0,2927,44531,3906,0,0,10318,14224,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,41895,0,0,2337,44232,3952,0,0,10318,14270,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,37813,13,0,3600,41426,3310,0,0,0,3310,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,40270,155,0,0,40425,3584,0,0,10318,13902,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,36482,0,0,2345,38827,3636,0,0,10532,14168,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,36551,7,0,0,36558,3208,0,0,10318,13526,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Self Help,Family Law Facilitator Self Help Legal Asst,False,True,,27384,33286,,31432,245,0,3600,35277,2834,0,0,0,2834,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk II,False,True,,32908,39999,,30104,60,0,4460,34624,2698,0,0,840,3538,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk II,False,True,,32908,39999,,29707,0,0,3300,33007,2607,0,0,528,3135,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Finance,Fiscal Technician,False,True,,39126,47558,,27910,0,2292,2257,32459,2442,0,0,896,3338,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,31268,0,0,888,32156,3045,0,0,10311,13356,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk II,False,True,,32908,39999,,29577,0,0,0,29577,2596,0,0,10318,12914,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk II,False,True,,32268,39222,,16037,0,48,0,16085,1391,0,0,8226,9617,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk I,False,True,,29848,36280,,13353,0,0,1800,15153,1183,0,0,0,1183,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk III,False,True,,36280,44099,,12703,0,0,0,12703,0,0,0,0,0,2% @ 55,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Finance,Court Analyst,False,True,,49493,60160,,11118,0,0,0,11118,990,0,0,3514,4504,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk I,False,True,,28415,34539,,8962,0,755,0,9717,774,0,0,2781,3555,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Self Help,Family Law Facilitator Self Help Legal Asst,False,True,,26070,31688,,8998,0,0,0,8998,798,0,0,6882,7680,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk I,False,True,,29848,36280,,7830,0,0,0,7830,697,0,0,3446,4143,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
2018,Superior Court,Lake County Superior Court,Courtroom Support,Court Clerk I,False,True,,29848,36280,,2484,0,0,0,2484,376,0,0,3262,3638,2% @ 62,https://www.lake.courts.ca.gov/,,09/24/2019,Lake,,False,
