Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2016,Superior Court,Lassen County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,195594,0,0,0,195594,0,,,1804,1804,Judicial Retirement System,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,182112,191612,,187117,0,0,0,187117,0,,,19458,19458,Judicial Retirement System,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Executive,Court Executive Officer,False,True,,111940,136085,,114693,0,0,0,114693,16819,0,0,25796,42615,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Family Law Services,Family Law Facilitator,False,True,,86810,105513,,102511,0,0,0,102511,14503,0,0,9306,23809,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Operations,Operations Manager,False,True,,75005,91159,,83609,0,0,12435,96044,13595,0,0,9306,22901,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Administration,Administrative Manager,False,True,,75005,91159,,82443,0,0,0,82443,11754,0,0,2354,14108,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Reporter II,False,True,,66539,80891,,77483,0,0,1531,79014,11351,0,0,8775,20126,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Family Law Services,Mediator,False,True,,63378,77043,,73833,0,0,3664,77497,11118,0,0,8775,19893,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Supervisor,False,True,,53282,64786,,57776,0,0,2942,60718,8789,0,0,9329,18118,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,39374,47320,,46106,0,0,4047,50153,6822,0,1800,0,8622,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,39374,47320,,44846,0,0,1800,46646,6328,0,1800,0,8128,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,39374,47320,,43591,0,0,2174,45765,6597,0,0,8775,15372,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,39374,47320,,45175,0,0,36,45211,6514,0,0,8775,15289,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,39374,47320,,42104,0,0,1177,43281,6299,0,1177,3225,10701,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,34495,0,0,1055,35550,4869,0,1055,748,6672,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,33564,0,0,1800,35364,4736,0,1800,0,6536,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,32840,0,0,1800,34640,4636,0,1800,0,6436,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,32203,0,0,0,32203,4659,0,0,8950,13609,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Administration,Fiscal Specialist I,False,True,,36088,43846,,28665,0,0,0,28665,5110,0,0,11604,16714,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Records Clerk II,False,True,,35901,43139,,27094,0,0,100,27194,5945,0,0,12975,18920,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,23423,0,0,0,23423,3372,0,0,1500,4872,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Lassen County Superior Court,Commissioner,False,True,,75982,75982,,23215,0,0,0,23215,0,0,0,0,0,N/A,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Administration,Administrative Specialist I,False,True,,36795,44720,,16342,0,928,373,17643,2228,0,373,355,2956,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,31844,38230,,14307,0,978,0,15285,1950,0,0,0,1950,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Administration,Administrative Specialist I,False,True,,37898,46072,,14937,0,0,0,14937,2186,0,0,3711,5897,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,31844,38230,,12594,0,35,102,12731,2575,0,0,6478,9053,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32801,39374,,10718,0,492,509,11719,1563,0,509,49,2121,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk III,False,True,,38230,45947,,5301,0,2460,342,8103,758,0,85,54,897,2% @ 55,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,32802,39374,,6039,0,0,346,6385,881,0,346,0,1227,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,
2016,Superior Court,Lassen County Superior Court,Courtroom Support,Court Clerk I,False,True,,31844,38230,,5634,0,371,277,6282,768,0,277,0,1045,2% @ 62,https://www.lassen.courts.ca.gov/general-information/employment-opportunities,,07/25/2017,Lassen,,,

