Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,310268,0,0,69336,379604,0,0,25441,25675,51116,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,"Court Executive Officer, SC",False,True,,217686,329485,,264695,0,0,39688,304383,49876,0,20907,32297,103080,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,"Chief Deputy, Finance And Administration",False,True,,175228,265222,,251504,0,0,43046,294550,52895,0,22305,34092,109292,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,"Chief Information Officer, SC",False,True,,175228,265222,,239258,0,6751,20156,266165,45596,0,20296,20273,86165,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,185632,0,24144,42120,251896,3265,0,17104,6822,27191,General E 2% AT AGE 65,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Chief Deputy Of Operations,False,True,,175228,265222,,223833,0,0,18183,242016,43766,0,17907,34092,95765,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,51300,237941,0,0,16385,10682,27067,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,185205,0,6215,42430,233850,2869,0,16282,7294,26445,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,6979,39422,233042,0,0,16385,6641,23026,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,185632,0,6288,40605,232525,3305,0,16603,7305,27213,General E 2% AT AGE 65,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,184384,0,5318,42376,232078,2900,0,16691,1171,20762,General E 2% AT AGE 65,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,184384,0,5318,42272,231974,2725,0,16691,7777,27193,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,184519,0,5318,41968,231805,2892,0,15771,18302,36965,General E 2% AT AGE 65,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,184384,0,5318,41950,231652,2725,0,514,17747,20986,General D 2% AT AGE 61,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44878,231519,0,0,16385,7282,23667,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44758,231399,0,0,16385,14000,30385,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186640,0,0,44610,231250,0,0,16341,7245,23586,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44538,231179,0,0,16385,14000,30385,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186640,0,0,44268,230908,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18180,34565,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16324,18180,34504,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18119,34504,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16385,18091,34476,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16243,18180,34423,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
2015,Superior Court,Los Angeles County Superior Court,Superior Court & County Clerk,Judge - Superior Court,True,True,,189041,189041,,186641,0,0,44198,230839,0,0,16137,18180,34317,N/A,http://hr.lacounty.gov/,,07/26/2016,Los Angeles,,,
