Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,244853,0,0,0,244853,0,,,16204,16204,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,220645,0,0,0,220645,0,,,1807,1807,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215260,0,0,0,215260,0,,,15988,15988,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,215177,0,0,0,215177,0,,,8343,8343,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,214381,0,0,0,214381,0,,,20703,20703,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213319,0,0,0,213319,0,,,16112,16112,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213116,0,0,0,213116,0,,,16112,16112,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,215574,225074,,213116,0,0,0,213116,0,,,16112,16112,Judicial Retirement System,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Superior Courts,Court Executive Officer,False,True,,185126,185126,,175306,,,,175306,54226,,1200,147,55573,2.7% @55,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
2021,Superior Court,Madera County Superior Court,Superior Courts,Assistant Court Executive Officer,False,True,,102138,137037,,120004,,,13367,133371,40858,,1200,147,42205,2.7% @55,https://www.madera.courts.ca.gov/general-information/job-openings,,07/26/2022,Madera,,True,
