Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2013,Superior Court,Marin County Superior Court,Executive Office,Court Executive Officer,False,True,,193981,193981,,188801,,,10885,199686,47312,5098,0,17518,69928,2% at 55 1/2,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,180469,0,0,0,180469,0,,,1804,1804,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,178291,0,0,0,178291,0,,,12261,12261,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,177323,0,0,0,177323,0,,,6945,6945,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,176100,0,0,0,176100,0,,,13422,13422,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,175982,0,0,0,175982,0,,,7458,7458,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,174528,0,0,0,174528,0,,,17396,17396,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,174073,0,0,0,174073,0,,,13222,13222,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,172957,0,0,-84,172873,0,,,14436,14436,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,172028,0,0,0,172028,0,,,17396,17396,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,171853,0,0,0,171853,0,,,17396,17396,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Judges' Retirement System Member,"Judge, Superior Court",True,True,,171792,181292,,160925,0,0,-728,160197,0,,,17188,17188,Judicial Retirement System,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Information Technology Manager,False,True,,121098,133515,,127323,,,1285,128608,31029,5534,0,17481,54044,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Fiscal Services,Court Chief Financial Officer,False,True,,115419,127234,,124977,,,1250,126227,29569,7322,0,7854,44745,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Legal Support,Supervising Research Attorney,False,True,,105560,131144,,119864,,,1270,121134,30478,4757,0,12971,48206,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Human Resources,Human Resources Manager,False,True,,108181,119267,,117883,,,1250,119133,27718,4493,0,7611,39822,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Payroll - 1058 Flf,Family Law Facilitator,False,True,,94640,114941,,103409,,,1285,104694,26712,4948,0,17518,49178,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Principal Network Specialist,False,True,,95355,105027,,100704,,,1270,101974,24408,4272,0,13014,41694,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Court Management Analyst,False,True,,84552,101109,,99861,,,1250,101111,23498,5558,0,7611,36667,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Counter/Small Claims/Apeals,Court Commissioner,False,True,,152006,152006,,77219,,18460,0,95679,17626,4264,0,9411,31301,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Counter/Small Claims/Apeals,Court Operations Manager,False,True,,85946,94806,,93031,,,1250,94281,21992,4074,0,7596,33662,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Executive Office,Court Operations Manager,False,True,,85946,94806,,90988,,,1285,92273,22077,4374,0,17553,44004,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,89182,160,,1285,90627,21517,3838,0,17518,42873,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Traffic,Court Operations Manager,False,True,,85946,94806,,89109,,,1285,90394,22033,0,0,17430,39463,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,88921,,,1285,90206,21517,3426,0,17430,42373,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,87939,71,,1330,89340,21531,0,0,13014,34545,2% at 55 1/2,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,87130,368,,1250,88748,21517,3555,0,7897,32969,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,87231,,,1270,88501,21517,589,0,16637,38743,2% at 55 1/2,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Legal Support,Research Attorney,False,True,,83346,101005,,87195,,,1285,88480,23473,5081,0,17040,45594,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,86150,36,,1285,87471,21517,4805,0,17518,43840,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Senior Systems Analyst,False,True,,76362,92606,,85443,,,1250,86693,21521,4454,0,7897,33872,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Sr. Technology Specialist,False,True,,65891,79892,,78914,,,3460,82374,18567,2814,0,659,22040,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Court Reporters,Court Reporter,False,True,,84338,92586,,80565,,,1270,81835,21438,3823,0,12921,38182,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Mediation,Child Custody Recommending Counselor,False,True,,68224,82368,,80210,,,1270,81480,19142,3048,0,12771,34961,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Mediation,Child Custody Recommending Counselor,False,True,,68224,82368,,79604,,,1270,80874,19142,3048,0,12971,35161,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Mediation,Child Custody Recommending Counselor,False,True,,68224,82368,,77248,,,3460,80708,19142,2974,0,748,22864,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Fiscal Services,Facilities Procurement Specialist,False,True,,75843,91780,,74422,2299,,3460,80181,17446,3049,0,659,21154,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Information Services,Sr. Technology Specialist,False,True,,65891,79892,,77690,,,1250,78940,18567,3843,0,7897,30307,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Counter/Small Claims/Apeals,Court Commissioner,False,True,,152006,152006,,75593,,2346,0,77939,16918,3185,0,6492,26595,2% at 61 1/4,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Fiscal Services,Court Financial Services Associate,False,True,,64022,77126,,74954,,,1250,76204,17924,3444,0,7854,29222,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Human Resources,Human Resources Associate,False,True,,64022,77126,,74358,1,,1250,75609,17924,3137,0,7611,28672,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Legal Support,Research Attorney,False,True,,83346,101005,,74265,,,1285,75550,18779,4432,0,13562,36773,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Legal Support,Probate Examiner,False,True,,60632,74194,,74022,,,1250,75272,17243,2795,0,7611,27649,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
2013,Superior Court,Marin County Superior Court,Legal Support,Research Attorney,False,True,,83346,101005,,73554,,,1285,74839,18779,2873,0,14014,35666,2% at 55,https://www.marin.courts.ca.gov/general-information/human-resources,,07/25/2016,Marin,,,
