Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2023,Superior Court,Mariposa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,234605,0,0,0,234605,0,0,0,18097,18097,Judicial Retirement System,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,228979,238479,,226880,0,0,0,226880,0,0,0,23376,23376,Judicial Retirement System,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Executive Officer,False,True,,115213,115213,,103831,0,2216,6913,112960,12958,0,0,14307,27265,2.7% @ 55,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Systems Analyst,False,True,,72646,88296,,75501,0,0,7375,82876,7938,0,0,617,8555,2% @ 62,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Reporter,False,True,,77744,94494,,76021,0,0,2159,78180,8025,0,0,10755,18780,2% @ 62,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Clerk III,False,True,,47395,57606,,54888,0,0,6072,60960,5881,0,0,9072,14953,2.7% @ 55,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Supervisor,False,True,,60451,73477,,58336,0,0,1411,59747,7646,0,0,14307,21953,2.7% @ 55,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Clerk II,False,True,,42879,52123,,48747,2134,0,4257,55138,5217,0,0,9801,15018,2% @ 62,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Clerk III,False,True,,47395,57606,,50913,1133,1045,494,53585,5766,0,0,14057,19823,2% @ 55,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
2023,Superior Court,Mariposa County Superior Court,Mariposa County Superior Court,Court Clerk II,False,True,,42879,52123,,44126,0,0,5100,49226,4633,0,0,617,5250,2% @ 62,https://www.mariposa.courts.ca.gov/,,08/06/2024,Mariposa,,False,
