Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Mendocino County Superior Court,Court Administration,Ceo,False,True,,203840,203840,,217462,,9800,,227262,0,,,0,0,N/A,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212248,0,0,0,212248,0,,,16194,16194,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,211604,0,0,0,211604,0,,,8365,8365,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210853,0,0,0,210853,0,,,16194,16194,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210853,0,0,0,210853,0,,,16194,16194,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210403,0,0,0,210403,0,,,16194,16194,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,206020,0,0,-37,205983,0,,,20917,20917,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,200674,0,0,0,200674,0,,,20917,20917,Judicial Retirement System,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Family & Children Services,Family Law Facilitator,False,True,,219586,219586,,173448,,,3365,176813,0,,,1102,1102,N/A,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Court Administration,Information Technology Manager,False,True,,100194,130811,,132353,,6076,,138429,54002,,,19567,73569,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Family & Children Services,Family Court  Services Director,False,True,,97510,127442,,128866,,,3365,132231,50246,,,2025,52271,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Court Administration,Chief Administrative Manager,False,True,,94037,124530,,126183,,4130,,130313,50767,,,27132,77899,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Chief Of Operations,False,True,,94037,122200,,123574,,5677,,129251,50504,,,26267,76771,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Assistant Operations Manager,False,True,,76045,98654,,99744,,7460,,107204,41911,,,9958,51869,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,97162,468,,,97630,37818,,,26180,63998,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,96994,267,,,97261,37818,,,9871,47689,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,97207,,,,97207,37818,,,17668,55486,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,97143,,,,97143,37818,,,18445,56263,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,96145,,,,96145,37484,,,26180,63664,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Processing Analyst,False,True,,83200,86112,,90249,,,,90249,0,,,0,0,N/A,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Court Administration,Court Systems Analyst,False,True,,71781,87277,,88226,790,,,89016,31719,,,25691,57410,2.5% @ 67,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Family & Children Services,Probate/Guardian/       Conservator Investigator,False,True,,71677,90813,,88621,,,,88621,34583,,,18702,53285,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Interpreter,False,True,,76419,92893,,82186,,,,82186,26720,,,9871,36591,2.5% @ 67,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Supervisory Courtroom Support Coordinator,False,True,,58053,73091,,46981,356,34078,,81415,18049,,,11965,30014,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Court Reporter,False,True,,76232,95909,,80650,,,,80650,29045,,,9871,38916,2.5% @ 67,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Family & Children Services,Family Mediator,False,True,,131747,136406,,73250,,3160,,76410,0,,,5828,5828,N/A,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Commissioner,False,True,,182416,182416,,75949,,216,,76165,0,,,0,0,N/A,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Supervisory Court Clerk,False,True,,56992,71947,,72917,,,,72917,28365,,,26180,54545,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
2020,Superior Court,Mendocino County Superior Court,Courtroom Support,Supervisory Court Clerk,False,True,,56992,71947,,71314,,,,71314,27806,,,18695,46501,2% @ 57,https://www.mendocino.courts.ca.gov/general_info/careers/careers.html,,07/27/2021,Mendocino,,False,
