Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214513,0,0,0,214513,0,,,16706,16706,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,214186,0,0,0,214186,0,,,16706,16706,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,212767,0,0,0,212767,0,,,8702,8702,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210691,0,0,0,210691,0,,,16070,16070,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210291,0,0,-162,210129,0,,,18556,18556,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,210079,0,0,0,210079,0,,,16194,16194,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209435,0,0,0,209435,0,,,20824,20824,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,209404,0,0,0,209404,0,,,20917,20917,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205822,0,0,0,205822,0,,,16070,16070,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Judge's Retire System Member,"Judge, Superior Court",True,True,,205101,214601,,205940,0,0,-159,205781,0,,,16194,16194,Judicial Retirement System,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Staff Attorney,Court Commissioner,False,True,,182411,182411,,161369,0,0,21812,183181,86256,0,0,9589,95845,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Commissioners,Court Commissioner,False,True,,182411,182411,,172405,0,0,10750,183155,0,0,0,0,0,N/A,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Staff Attorney,Court Staff Attorney III,False,True,,117333,142792,,131056,0,0,9271,140327,54454,0,0,0,54454,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Executive Office,Court Executive Officer,False,True,,149261,149261,,122832,0,0,14350,137182,65755,0,0,15811,81566,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Information Technology,Court Information Technology Director,False,True,,120245,146349,,98044,0,0,17361,115405,51802,0,0,20456,72258,2.5% @ 67,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Staff Attorney,Court Staff Attorney III,False,True,,117333,142792,,84096,0,0,28202,112298,53129,0,0,22110,75239,2.5% @ 67,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Family Court Services,Family Court Services Director,False,True,,95098,115627,,98034,0,0,13106,111140,47934,0,0,9875,57809,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Finance,Chief Financial Officer,False,True,,100339,122034,,100593,0,0,7048,107641,55407,0,0,26967,82374,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Administration,Deputy Executive Officer,False,True,,100339,122034,,93064,0,0,10840,103904,50089,0,0,15811,65900,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Administration,Court Calendar Manager,False,True,,90584,110115,,84931,0,0,14296,99227,50493,0,0,26967,77460,3% @ 60,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Shc/Flf Office,Self-Help Attorney/Family Law Facilitator,False,True,,95098,115627,,84447,0,0,5239,89686,42424,0,0,26967,69391,2.5% @ 67,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
2020,Superior Court,Merced County Superior Court,Information Technology,Programming and Database Analyst,False,True,,94640,115066,,88937,0,0,285,89222,42219,0,0,26967,69186,2.5% @ 67,www.merced.courts.ca.gov/divisions/human-resources,,07/27/2021,Merced,,False,
